date,time,Tx(GONG),Ty(GONG),Tx(HMI),Ty(HMI),lon(GONG),lat(GONG),elon(GONG),elat(GONG),lon(HMI),lat(HMI),elon(HMI),elat(HMI)
2020-01-01,00:00:00,-319.40665343333967,883.5891915713275,-601.7421588604337,-439.54488927951036,25.57857714194425,62.62858981031641,10.0,10.0,26.566874472265578,-28.69729635500113,10.0,10.0
2020-01-01,06:00:00,-326.27893806574866,883.413630228406,-564.131811844185,-437.5812241102959,21.12111497723316,62.59236503616272,10.0,10.0,26.50391926032345,-28.775854200458607,10.0,10.0
2020-01-01,12:00:00,-331.3638346788939,881.5657509082258,-650.1388495462015,-645.8400906052215,17.225359416207823,62.410763952995474,10.0,10.0,0.6615755370807629,-42.436808464417524,10.0,10.0
2020-01-01,18:00:00,-332.64348105364485,885.803218399163,-660.6185382031836,-620.457791066763,13.933214906318163,62.42948328593716,10.0,10.0,357.71342573853065,-40.817636507380435,10.0,10.0
2020-01-02,00:00:00,-334.53597761015413,889.3994450174937,-652.4985554243904,-612.0345405370657,9.257638679522467,62.921147278095674,10.0,10.0,357.2067659875017,-40.151889995884474,10.0,10.0
2020-01-02,06:00:00,-334.84553922200575,895.0605204040731,-636.4338294193149,-610.6589985958698,4.565007596763119,63.55251066529845,10.0,10.0,356.0124840241246,-40.24611549890349,10.0,10.0
2020-01-02,12:00:00,-335.00197811890393,898.1285074289127,-625.867427613819,-603.9318471970282,359.09319484456887,64.34558868507958,10.0,10.0,355.32265603501594,-39.678956778958415,10.0,10.0
2020-01-02,18:00:00,-357.20914018084295,896.2496210320447,-599.2463485663758,-603.6707164210602,352.17372942444086,63.917915678877236,10.0,10.0,354.8835681122658,-39.96203966027279,10.0,10.0
2020-01-03,00:00:00,-381.1517254889477,881.7194171999125,-575.3645205216017,-605.3774898471504,347.2622303147256,62.46786678771032,10.0,10.0,354.4309640064225,-40.1546787242274,10.0,10.0
2020-01-03,06:00:00,-394.19157483242446,872.8331024910714,-547.3456925004721,-611.828874252833,344.88863546734126,61.13956007251325,10.0,10.0,353.9021852134497,-40.72388825256369,10.0,10.0
2020-01-03,12:00:00,-391.88240596978,869.996832120009,-2002.093114834977,205.94916510270312,343.4298544736317,60.633993151502075,10.0,10.0,344.10075268826006,2.851323875506816,10.0,10.0
2020-01-03,18:00:00,-379.4643058155197,874.5419687175,nan,nan,342.0363190943607,60.931234442973874,10.0,10.0,306.2090223785683,48.074387628623285,10.0,10.0
2020-01-04,00:00:00,-358.51712251803843,884.4809942365839,nan,nan,339.1926692415622,62.435492270949204,10.0,10.0,302.53810070897714,37.25496527772888,10.0,10.0
2020-01-04,06:00:00,-358.9514470831491,887.8859654714428,-840.2903392121661,511.79749690103677,332.8382450324579,63.45251489093234,10.0,10.0,301.8386018072692,31.170429266164952,10.0,10.0
2020-01-04,12:00:00,-371.6119592101313,890.5807969492968,-857.1404381156899,479.5264665070197,328.84716878324167,62.91101174368939,10.0,10.0,300.8977962627284,28.85104161853068,10.0,10.0
2020-01-04,18:00:00,-369.3051354880445,885.9473489251443,-862.0523023430724,457.70956987115534,324.12849431733144,63.331776055736434,10.0,10.0,299.99083164190534,27.349377860882573,10.0,10.0
2020-01-05,00:00:00,-373.27802205923945,885.5670142206843,-867.9346537450328,441.89048004169774,319.7022526182812,63.37088655354147,10.0,10.0,299.037785137227,26.088473739961252,10.0,10.0
2020-01-05,06:00:00,-374.2965501495637,885.3276718244026,-865.4832111443393,426.08469457453316,315.96606336090815,63.413156932366704,10.0,10.0,297.9801389278415,25.019986426104218,10.0,10.0
2020-01-05,12:00:00,-391.5655266686808,886.5544535311984,-861.2874765763991,414.1438157756383,311.231533935782,62.74594495183373,10.0,10.0,297.09877824276543,24.130858647555257,10.0,10.0
2020-01-05,18:00:00,-396.06531004584394,881.7916385549115,-858.900818486698,405.06447131267413,307.4667755836324,62.4598516769556,10.0,10.0,296.0167221080732,23.338522422025648,10.0,10.0
2020-01-06,00:00:00,-399.1426142456477,876.7791342085957,-849.5297908177598,393.0848818675872,303.8740306070386,62.20908549527767,10.0,10.0,294.756385989913,22.562243904356407,10.0,10.0
2020-01-06,06:00:00,-409.96589970216166,875.7951950552582,-847.3010342475028,388.2412043762283,300.829115751588,61.470583693546324,10.0,10.0,293.64072376455624,21.93378490287882,10.0,10.0
2020-01-06,12:00:00,-407.10980919213034,871.7801062007205,-837.5159630083945,382.3071556502066,298.412876245568,61.30348053210681,10.0,10.0,292.3613886926894,21.435782960953293,10.0,10.0
2020-01-06,18:00:00,-412.3867075066082,873.4277532315252,-826.3426731575746,379.10076995707465,296.03875151075835,60.78500255452937,10.0,10.0,291.2074015182058,21.06385802169849,10.0,10.0
2020-01-07,00:00:00,-406.46486985497177,872.0756901837143,-807.7325380654074,374.351340876872,293.895937509438,60.78294344662508,10.0,10.0,289.99750833954533,20.777338201150684,10.0,10.0
2020-01-07,06:00:00,-400.5814522909932,871.8923711362727,-798.4949831517879,374.8086667336737,291.81614178869165,60.784382824874754,10.0,10.0,288.72449143047737,20.52518707402405,10.0,10.0
2020-01-07,12:00:00,-393.98668958805496,872.7868471156712,-780.4627817817964,375.8725621843057,289.9687250725478,60.778287666668675,10.0,10.0,287.5438486545716,20.47920026506549,10.0,10.0
2020-01-07,18:00:00,-387.1262407896575,875.5419690572683,-764.0525136848447,380.488296020551,288.11949462892653,60.82646514307354,10.0,10.0,286.21009726676425,20.600533283893046,10.0,10.0
2020-01-08,00:00:00,-371.5243979399093,875.2707371783345,-740.322576764971,387.04712670190287,286.23964352142514,61.35921490568504,10.0,10.0,284.81419665800047,21.02761010885248,10.0,10.0
2020-01-08,06:00:00,-364.8321247908752,882.1495039955478,-718.6639588752297,396.60098678683295,283.9978783197665,61.62916501554138,10.0,10.0,283.2451194041715,21.606208764556627,10.0,10.0
2020-01-08,12:00:00,-349.1512874471955,885.9534734067364,-707.3953694761731,412.99465144876496,281.4093562792182,62.54569437805951,10.0,10.0,281.32909675136585,22.34497910827005,10.0,10.0
2020-01-08,18:00:00,-344.48331543058157,894.1330944641098,-681.1339427405038,423.41657805746314,278.268122164268,63.0288159740121,10.0,10.0,279.60856586194984,23.15637453127693,10.0,10.0
2020-01-09,00:00:00,-332.6506062238477,898.8076564996553,-662.2072446085513,445.0781920201216,275.0684040357234,63.93292052852848,10.0,10.0,277.7109619196254,24.398276943003086,10.0,10.0
2020-01-09,06:00:00,-2117.6532922959886,177.23193242875854,-650.3955994637217,468.79428497630823,263.6633243786889,2.070383311050121,10.0,10.0,274.8280076274504,25.899460334616123,10.0,10.0
2020-01-09,12:00:00,-2112.9645437865984,195.0273930261569,-638.4761699659283,487.9353325249045,260.2501146451919,2.4901030800412047,10.0,10.0,272.16685006084384,27.06640733197973,10.0,10.0
2020-01-09,18:00:00,-2119.8509332244284,196.70973217605163,-617.4532620322425,500.882173333767,256.8168273996405,2.5153513068660107,10.0,10.0,270.0115390025689,28.049415964404933,10.0,10.0
2020-01-10,00:00:00,-2125.2237705045845,198.10614471735516,-592.8688526893966,521.6187566180838,253.38465192212,2.5371927499236397,10.0,10.0,268.2459576906593,29.408960611051818,10.0,10.0
2020-01-10,06:00:00,-2129.7236574289855,199.17730491016488,-547.7283809573855,562.3524938711145,249.9532943246264,2.5534205602338518,10.0,10.0,267.7654333156329,32.0594111192067,10.0,10.0
2020-01-10,12:00:00,-2133.7165301651694,199.93218142256248,-531.9105662042275,633.7788878640778,246.52291062737984,2.563461665417896,10.0,10.0,262.63495140826404,37.41042171541083,10.0,10.0
2020-01-10,18:00:00,-2137.421503907768,200.48403813964626,-532.2857099731918,643.9724982011766,243.09420396365024,2.5693917706773224,10.0,10.0,258.9380673920595,38.08395892711642,10.0,10.0
2020-01-11,00:00:00,-429.44184010638855,-845.2719022826454,-519.8650607676245,646.4146556994916,232.77049345526316,-61.43004857972951,10.0,10.0,256.71510399199474,38.25926678055652,10.0,10.0
2020-01-11,06:00:00,-462.3647382121999,-838.7008093351153,-478.95892786653707,670.1437550969823,225.30734530188568,-60.0938317751336,10.0,10.0,256.3072858342448,39.96200826202682,10.0,10.0
2020-01-11,12:00:00,-509.1810235851444,-812.8719921240288,-420.3083546205889,729.7928940068491,216.95081730236046,-57.47670547476471,10.0,10.0,255.5532898343606,44.722655149821996,10.0,10.0
2020-01-11,18:00:00,-642.7477850909345,-724.5956416099402,-413.4585608399939,787.075430727381,208.9815452305655,-48.40035995779808,10.0,10.0,248.5753294112304,49.94741857267586,10.0,10.0
2020-01-12,00:00:00,-854.4024793244897,-408.0791716172168,-409.0131550373044,804.1317599524632,210.08763610949242,-25.744883804461864,10.0,10.0,243.53468636576852,51.92508760713372,10.0,10.0
2020-01-12,06:00:00,-846.8961231124123,-386.6839068924809,-398.1193794305436,813.6911430097713,210.39703279948262,-24.62961637836983,10.0,10.0,239.6807814766899,53.35111025411477,10.0,10.0
2020-01-12,12:00:00,-839.1891678727698,-380.9738485442765,-384.4678699735086,830.1479133650653,209.50966256882728,-24.364015054291634,10.0,10.0,236.4768850405589,54.8497467352125,10.0,10.0
2020-01-12,18:00:00,-828.1851719841362,-380.49161503399483,-369.9732289642561,849.9805421283792,208.398632910805,-24.439987008550435,10.0,10.0,232.7855119939079,56.76903775311426,10.0,10.0
2020-01-13,00:00:00,-813.6121965039057,-381.5438298504004,-354.28995819180267,869.5033181604988,207.1811959350941,-24.665898441496267,10.0,10.0,228.15088349457756,59.18715438553282,10.0,10.0
2020-01-13,06:00:00,-804.4918058328329,-390.5153687598355,-346.19338008970954,886.5256008859419,204.01018391439584,-25.36998020066245,10.0,10.0,221.36253023528684,61.77289211336978,10.0,10.0
2020-01-13,12:00:00,-796.6998060313052,-407.451814078134,-356.60649734968314,891.9329978608231,201.20725281213646,-26.42209243501437,10.0,10.0,210.513908082516,63.7722091492005,10.0,10.0
2020-01-13,18:00:00,-783.3066765684634,-407.8548910035186,-405.70057123992586,881.3683442469479,199.49557636983312,-26.61723811351627,10.0,10.0,200.46808209312,62.201380469346105,10.0,10.0
2020-01-14,00:00:00,-769.6619881335646,-409.65779859100485,-445.9869414423592,867.2237064003735,198.13872760674099,-26.825759455427672,10.0,10.0,192.70223395646596,60.45652270540046,10.0,10.0
2020-01-14,06:00:00,-2162.909703864483,191.62615287838688,-489.31248787930235,839.5783152317626,195.68380198688797,2.2739905062245027,10.0,10.0,185.79744529889416,57.94767224078628,10.0,10.0
2020-01-14,12:00:00,-2158.501709422795,187.80184750572,-549.8510227904188,798.0889243098696,192.35822900752441,2.1856943681742576,10.0,10.0,181.39253143561328,53.62361574509164,10.0,10.0
2020-01-14,18:00:00,-2162.191673803376,169.24453711154953,-590.0808494202793,755.2155665319864,189.07569775538101,1.7352488815418847,10.0,10.0,182.83549138660544,49.00398689686156,10.0,10.0
2020-01-15,00:00:00,-469.0626375600697,848.1252202073279,-587.4058623141608,752.665695156113,182.28070392545214,57.973200392276446,10.0,10.0,182.20401705385868,48.336129565045155,10.0,10.0
2020-01-15,06:00:00,-464.4334185239859,844.5157465541391,-576.2319884542376,755.7743873669439,180.412631918036,57.76458088245722,10.0,10.0,180.44494125170425,48.577639611861706,10.0,10.0
2020-01-15,12:00:00,-457.5241362210363,843.0880015616583,-567.2228077922482,759.804198426785,178.87069880823876,57.64732913733178,10.0,10.0,178.63100392332368,48.744347407402884,10.0,10.0
