date,time,lon,lat,elon,elat,HelioprojectiveTx,HelioprojectiveTy
2020-01-01,00:00:00,18.569118474092942,3.2445643162945847,0.0,0.0,-1557.284338167403,173.30624600500724
2020-01-01,06:00:00,10.713971540237909,-55.691752654216565,0.0,0.0,-461.16356132691726,-790.6186505839548
2020-01-01,12:00:00,5.037348763633789,-51.14418267920091,0.0,0.0,-528.7441122080199,-746.3740453845359
2020-01-01,18:00:00,1.2691475679296276,-49.52570593608043,0.0,0.0,-550.4284931111615,-729.0849522191696
2020-01-02,00:00:00,359.1418199957504,-49.12986358634847,0.0,0.0,-548.0214885275345,-723.561471927155
2020-01-02,06:00:00,354.9870937841428,-43.95988770427183,0.0,0.0,-609.7660196996294,-662.7683846360023
2020-01-02,12:00:00,357.6745681650746,3.2272425598042425,0.0,0.0,-1581.575954779284,174.75217914632773
2020-01-02,18:00:00,354.24673413292066,2.7774501897778605,0.0,0.0,-1584.7458929643035,159.69678873889208
2020-01-03,00:00:00,347.3807095632934,56.47954221011179,0.0,0.0,-455.68018549634144,834.177705261264
2020-01-03,06:00:00,346.48822200380454,56.50716762577244,0.0,0.0,-440.31618006154895,831.2477663487749
2020-01-03,12:00:00,345.3798799799591,56.74890763155383,0.0,0.0,-426.679659047164,836.9903367116299
2020-01-03,18:00:00,343.67888406559956,57.45504732788827,0.0,0.0,-409.02715479186736,842.8957926215553
2020-01-04,00:00:00,341.78865606728647,58.14630420358364,0.0,0.0,-394.91851531667635,853.2800193900249
2020-01-04,06:00:00,338.48856263098173,60.18349875276629,0.0,0.0,-370.8451785000507,867.2122648918423
2020-01-04,12:00:00,329.5093571325151,61.202332786331084,0.0,0.0,-387.3131207767874,871.8807430884578
2020-01-04,18:00:00,322.789753866708,61.22618469036842,0.0,0.0,-404.0395036872942,874.3638826704039
2020-01-05,00:00:00,316.53255872507583,61.31304835607586,0.0,0.0,-413.2070895570796,869.9509456276676
2020-01-05,06:00:00,309.9935931911259,60.593400005138434,0.0,0.0,-435.8351865496952,864.7735452189307
2020-01-05,12:00:00,304.42124537463087,59.69143508447375,0.0,0.0,-455.29573069908656,855.197347434419
2020-01-05,18:00:00,299.87279977107664,57.95922895239089,0.0,0.0,-483.7037679750938,841.2666150695793
2020-01-06,00:00:00,296.55951281440787,56.19134411134484,0.0,0.0,-507.50762711139396,825.6767187583654
2020-01-06,06:00:00,291.29272784124936,43.15926816119089,0.0,0.0,-675.335555914091,685.775058346972
2020-01-06,12:00:00,291.20784250912726,41.336411531525535,0.0,0.0,-680.4073021828663,665.8128855344902
2020-01-06,18:00:00,291.00937286269664,40.489125597382674,0.0,0.0,-670.8016347207595,655.8093291565199
2020-01-07,00:00:00,290.77665837119457,40.11008801509363,0.0,0.0,-655.1715704002418,652.4179447906331
2020-01-07,06:00:00,290.39108590994516,39.8823367283166,0.0,0.0,-641.942435703706,655.7272814091792
2020-01-07,12:00:00,289.66071355345485,40.51122937830075,0.0,0.0,-613.744941249257,661.4317745685173
2020-01-07,18:00:00,288.67175548728335,41.01551296652444,0.0,0.0,-596.1092955896165,674.3146017424548
2020-01-08,00:00:00,287.4755111621774,41.982870414058986,0.0,0.0,-566.294949419098,682.405424875404
2020-01-08,06:00:00,277.3338606736255,2.5840032531669594,0.0,0.0,-1675.0788031006232,157.65482561113495
2020-01-08,12:00:00,268.567298229297,-9.830782881117916,0.0,0.0,-865.0491003317293,-138.5681865024953
2020-01-08,18:00:00,267.7741177009003,-8.215248291045596,0.0,0.0,-849.0679861933459,-108.45318976345521
2020-01-09,00:00:00,267.0694497541997,-7.500671445239204,0.0,0.0,-830.1336329909973,-93.73091995998556
2020-01-09,06:00:00,266.237608621664,-7.048913460045636,0.0,0.0,-810.1991332387552,-83.5977150902327
2020-01-09,12:00:00,265.4278714978079,-6.7062338891353726,0.0,0.0,-786.8726029214449,-75.16916000839642
2020-01-09,18:00:00,264.655457341968,-6.44511262792882,0.0,0.0,-759.8328063427471,-67.98619120618763
2020-01-10,00:00:00,263.8779143048203,-6.241736578256109,0.0,0.0,-730.3081235673744,-61.7757183160218
2020-01-10,06:00:00,262.8385134322085,-5.8693567664127,0.0,0.0,-703.214350617025,-53.026654920043235
2020-01-10,12:00:00,258.6281731310015,-2.458375992261761,0.0,0.0,-716.752565051429,4.71510446380858
2020-01-10,18:00:00,219.9705917464514,-18.51952709437654,0.0,0.0,-924.7791911666282,-303.0795301501488
2020-01-11,00:00:00,219.10132674108462,-19.728660689018923,0.0,0.0,-909.990244647488,-319.1611012122345
2020-01-11,06:00:00,218.31980301165643,-19.583217584160085,0.0,0.0,-902.5490242957603,-313.75222972997386
2020-01-11,12:00:00,217.39888048719976,-19.41998257490029,0.0,0.0,-894.7582399270032,-308.44833907802996
2020-01-11,18:00:00,216.40798998186926,-19.311149412270485,0.0,0.0,-883.0473505090922,-303.2679552567437
2020-01-12,00:00:00,215.36309837210578,-19.095062462344064,0.0,0.0,-875.6763104579877,-298.0864273867574
2020-01-12,06:00:00,214.00817526566436,-19.008829377130134,0.0,0.0,-863.9662821376696,-293.9498779163865
2020-01-12,12:00:00,212.43332232808376,-19.048446376886666,0.0,0.0,-855.5485182874836,-293.31581373270683
2020-01-12,18:00:00,211.0011046002998,-19.129055111393182,0.0,0.0,-838.4502147957683,-290.87678452263026
2020-01-13,00:00:00,209.57667996597417,-19.040385193433018,0.0,0.0,-831.7130655052606,-289.29236980896485
2020-01-13,06:00:00,208.04408908543544,-19.17153275248943,0.0,0.0,-818.2651014244184,-289.50957607921873
2020-01-13,12:00:00,205.7485152965121,-19.304987682996426,0.0,0.0,-809.6858834056184,-290.39695511929597
2020-01-13,18:00:00,202.8671073161714,-19.86121857270275,0.0,0.0,-803.6462599153165,-298.87115012391394
2020-01-14,00:00:00,199.06993203696692,-20.59610478964854,0.0,0.0,-801.2987339524552,-310.18955726222106
2020-01-14,06:00:00,196.86346525907027,-19.83309373087311,0.0,0.0,-795.083911499707,-295.8714616032614
2020-01-14,12:00:00,195.83520247609823,-19.310290016850775,0.0,0.0,-777.4790682375897,-284.35326590624555
2020-01-14,18:00:00,195.2823330319185,-19.286035920916902,0.0,0.0,-756.507199325366,-282.2715050376203
2020-01-15,00:00:00,194.70951815606034,-19.62091431507638,0.0,0.0,-730.1027374104597,-285.3795712272351
2020-01-15,06:00:00,194.16965290385332,-20.32626296927689,0.0,0.0,-698.454263073625,-293.98533290706365
2020-01-15,12:00:00,179.20052705231578,2.1258571892106035,0.0,0.0,-1718.1630611254368,149.1644426865874
2020-01-15,18:00:00,181.10680222871568,46.92851765010898,0.0,0.0,-549.7755385409109,741.4474765223688
2020-01-16,00:00:00,179.74794745429259,47.52044693677197,0.0,0.0,-530.7639463494997,749.5479529161638
2020-01-16,06:00:00,178.39855623781028,48.2907287520375,0.0,0.0,-511.2585565666668,761.9790256650748
2020-01-16,12:00:00,177.01804496980014,49.85783976425286,0.0,0.0,-481.87242299015634,779.7032466907084
2020-01-16,18:00:00,175.48051163360475,51.331620195075566,0.0,0.0,-453.8232378694229,794.4327900047986
2020-01-17,00:00:00,174.17562827015615,52.25749083392262,0.0,0.0,-432.87276039109565,809.4546479916118
2020-01-17,06:00:00,172.58214620321016,54.742713735382694,0.0,0.0,-393.94476576219313,828.8820637527081
2020-01-17,12:00:00,170.1974939033779,56.60892588107655,0.0,0.0,-369.8015182982199,846.6824666438919
2020-01-17,18:00:00,166.0501808969147,59.67453022986429,0.0,0.0,-344.0353845139034,869.8386762617522
2020-01-18,00:00:00,157.36719375928217,60.487660730609186,0.0,0.0,-368.37079507275485,877.633356133951
2020-01-18,06:00:00,150.52582861196825,61.20473761548555,0.0,0.0,-377.6043765572831,879.1546802724729
2020-01-18,12:00:00,143.3685948042732,61.807435126372845,0.0,0.0,-388.06315785227343,881.1642953399087
2020-01-18,18:00:00,136.9242617959414,62.151756667957194,0.0,0.0,-397.68947241059504,883.8728278508355
2020-01-19,00:00:00,129.39356476877074,63.01991306131762,0.0,0.0,-399.3171876377892,882.783430247879
2020-01-19,06:00:00,131.03691830384116,2.1106286108674603,0.0,0.0,-1697.3256517560221,157.8454238044231
2020-01-19,12:00:00,107.87587012879882,-31.65106753400415,0.0,0.0,-820.4747001407668,-499.48835346272335
2020-01-19,18:00:00,106.26527560468467,-29.986885503473857,0.0,0.0,-829.8498698116746,-472.69599880736035
2020-01-20,00:00:00,104.08507145153267,-27.851037812480733,0.0,0.0,-840.7619004715234,-437.621691969779
2020-01-20,06:00:00,100.95983246691172,-18.189708543469532,0.0,0.0,-908.8036549009848,-286.91985636469235
2020-01-20,12:00:00,100.48991644464833,-16.26681921470268,0.0,0.0,-905.9438238765579,-251.1747693577536
2020-01-20,18:00:00,100.14722549678085,-15.129678882654026,0.0,0.0,-896.9250494125299,-228.35290902431603
2020-01-21,00:00:00,99.69960390424636,-14.323720042263998,0.0,0.0,-882.3477432653308,-210.60115191393797
2020-01-21,06:00:00,99.25440125216316,-13.812499638415908,0.0,0.0,-861.1136402525008,-197.08657441918083
2020-01-21,12:00:00,98.72103237838928,-13.389431451767631,0.0,0.0,-842.637569141807,-186.28931398433753
2020-01-21,18:00:00,98.08102757657166,-12.951492987207752,0.0,0.0,-826.0958174583502,-176.06180865448928
2020-01-22,00:00:00,97.37188428785522,-12.990849937528822,0.0,0.0,-802.4918584914412,-173.06816028938
2020-01-22,06:00:00,96.52190495493717,-13.187851444341504,0.0,0.0,-778.6182855132502,-173.07150947541408
2020-01-22,12:00:00,95.89915438791408,-13.463716450754923,0.0,0.0,-751.9207433387637,-174.46181797518682
2020-01-22,18:00:00,95.28985295841018,-14.136175140691106,0.0,0.0,-718.3304250950459,-181.6441701904087
2020-01-23,00:00:00,94.80878616145813,-14.866221117462178,0.0,0.0,-683.7112598097883,-190.18595193940808
2020-01-23,06:00:00,94.34071264269218,-15.578426488455989,0.0,0.0,-649.254453860689,-199.02013145060943
2020-01-23,12:00:00,93.844273650206,-16.461771126702143,0.0,0.0,-615.3104148625862,-211.6397725320724
2020-01-23,18:00:00,93.16627475770365,-17.586982203179385,0.0,0.0,-577.4145667324774,-227.17659871421415
2020-01-24,00:00:00,92.37577860209962,-20.168431153635467,0.0,0.0,-535.4721985706128,-266.8971142661064
2020-01-24,06:00:00,91.74335668719635,-21.54901983128848,0.0,0.0,-495.2919402041007,-286.79760000295875
2020-01-24,12:00:00,90.92317878702008,-22.827900538257975,0.0,0.0,-459.9485905468464,-306.89504750308544
2020-01-24,18:00:00,84.94878774771718,-30.793385921769,0.0,0.0,-460.99319187388755,-433.78533527508796
2020-01-25,00:00:00,83.17228558413568,-32.09051653003126,0.0,0.0,-438.03836752381176,-454.1978374310423
2020-01-25,06:00:00,80.81726661670558,-34.115005561001965,0.0,0.0,-416.2384762803558,-483.36767115123206
2020-01-25,12:00:00,79.27655672467078,-35.16109521897491,0.0,0.0,-389.0047254830133,-496.62860807680687
2020-01-25,18:00:00,75.34071969555603,-33.72945445305323,0.0,0.0,-402.04622153542005,-473.4467307934618
2020-01-26,00:00:00,74.85227275376475,-33.56331953519887,0.0,0.0,-368.08682951005176,-469.4328883126259
2020-01-26,06:00:00,74.64629156383387,-33.52768957471274,0.0,0.0,-330.01498856022954,-469.03834374395655
2020-01-26,12:00:00,74.42998731898271,-33.510091759201586,0.0,0.0,-288.35024581383914,-465.3870366033922
2020-01-26,18:00:00,74.4147880282374,-33.51919978771115,0.0,0.0,-243.51459073228762,-462.69081822771454
2020-01-27,00:00:00,74.59075486730833,-33.55789552898853,0.0,0.0,-195.64124291972257,-461.20751458089
2020-01-27,06:00:00,75.04407905480498,-33.680204759321654,0.0,0.0,-143.52242574607953,-462.30720444151274
2020-01-27,12:00:00,76.01043086126292,-34.23059353834542,0.0,0.0,-83.00619821599685,-469.4954304173167
2020-01-27,18:00:00,80.44580281828226,-34.761995211318066,0.0,0.0,26.009964604995073,-478.2398453154142
2020-01-28,00:00:00,83.1027070903306,-32.222808761044675,0.0,0.0,113.10230324086884,-441.45619707844565
2020-01-28,06:00:00,89.11908944812653,-25.034997470311552,0.0,0.0,261.0135747913535,-328.4045835358516
2020-01-28,12:00:00,91.393511679086,-22.283316984557196,0.0,0.0,350.53086522329147,-287.38466450294885
2020-01-28,18:00:00,92.3284045964743,-20.989052504351044,0.0,0.0,415.0238448352746,-268.5538143929288
2020-01-29,00:00:00,93.22685601564798,-18.20101866234227,0.0,0.0,480.4495637895981,-224.61083659515637
2020-01-29,06:00:00,94.23814235336977,-16.880018655469012,0.0,0.0,542.3921238897523,-206.029151548592
