date,time,lon,lat,elon,elat,HP-Tx,HP-Ty
2021-11-11,09:39:38.244559,53.93962646043282,-22.890811515492114,0.0,0.0,-516.9736943219323,-418.27560009953316
2021-11-11,15:39:38.244559,51.21676456525235,-24.121136573156626,0.0,0.0,-503.8080092626624,-435.9417128909478
2021-11-11,21:39:38.244559,50.885652859423274,-24.184055823618984,0.0,0.0,-464.4995607465971,-437.12871962977795
2021-11-12,03:39:38.244559,50.72213873012147,-24.167135824928735,0.0,0.0,-424.0595565699041,-439.0286325803548
2021-11-12,09:39:38.244559,50.594183726550376,-24.297406136383874,0.0,0.0,-379.6190068216529,-441.20145465378346
2021-11-12,15:39:38.244559,50.362003645092955,-24.385941613367404,0.0,0.0,-337.6262656294275,-444.92259792359613
2021-11-12,21:39:38.244559,49.64719910929618,-24.884729249351157,0.0,0.0,-299.67783271800727,-453.41275737250663
2021-11-13,03:39:38.244559,45.95109489580093,-25.39655696349183,0.0,0.0,-303.3701112968847,-459.3235120217352
2021-11-13,09:39:38.244559,45.595776040253156,-25.455664765668363,0.0,0.0,-261.0231726602651,-461.18097136295177
2021-11-13,15:39:38.244559,45.402879642939446,-25.643336031833478,0.0,0.0,-214.5479328907095,-463.2903564695405
2021-11-13,21:39:38.244559,45.158315726757884,-26.119024753163117,0.0,0.0,-167.90316997654736,-468.8437558384985
2021-11-14,03:39:38.244559,43.561080276975716,-28.475632090813907,0.0,0.0,-140.2806465968024,-505.39032111777647
2021-11-14,09:39:38.244559,42.62710022764118,-29.48187313873879,0.0,0.0,-104.62042481522076,-520.4822176329423
2021-11-14,15:39:38.244559,41.46950731822628,-30.31361917936995,0.0,0.0,-72.56563576939516,-531.7389870922922
2021-11-14,21:39:38.244559,39.02658695194633,-31.41602199769532,0.0,0.0,-59.320150475017726,-545.8484036159596
2021-11-15,03:39:38.244559,31.85075235026866,-37.637553801028666,0.0,0.0,-106.76576515682973,-629.0248660114759
2021-11-15,09:39:38.244559,21.528329440973035,-52.88640367822845,0.0,0.0,-151.31160107208416,-798.3477333116587
2021-11-15,15:39:38.244559,353.1367413276742,-30.017019770122566,0.0,0.0,-542.5059478702024,-517.0529489729731
2021-11-15,21:39:38.244559,352.21125797174994,-29.08081516182478,0.0,0.0,-517.0301855234429,-501.19317304586514
2021-11-16,03:39:38.244559,349.7753922018191,-28.705618615498242,0.0,0.0,-509.66535933711566,-496.6653785604871
2021-11-16,09:39:38.244559,347.58646660678613,-28.72549490881718,0.0,0.0,-497.3492204910144,-498.0647542160804
2021-11-16,15:39:38.244559,345.0180139269559,-28.769753227480955,0.0,0.0,-489.55706506827846,-499.89324992021085
2021-11-16,21:39:38.244559,343.21574256059654,-28.693675900799438,0.0,0.0,-471.93502470245585,-499.42190653271905
2021-11-17,03:39:38.244559,341.9311777000843,-28.453053124327827,0.0,0.0,-447.41869519581087,-495.97441746274234
2021-11-17,09:39:38.244559,340.8462580443746,-28.163848005726848,0.0,0.0,-420.5121315745637,-492.5976436600409
2021-11-17,15:39:38.244559,339.6673545279573,-27.995102760941222,0.0,0.0,-390.7853641109541,-487.3934763226911
2021-11-17,21:39:38.244559,339.0718701557255,-27.67170646961491,0.0,0.0,-356.30113690905273,-483.98364281859557
2021-11-18,03:39:38.244559,338.65600037945114,-27.383594525400905,0.0,0.0,-318.34606941905804,-481.4666309083646
2021-11-18,09:39:38.244559,338.1283913641069,-27.252604866165672,0.0,0.0,-278.17287564859726,-477.37742324717226
