date,time,lon,lat,elon,elat,HP-Tx,HP-Ty,Cons-Type
2021-11-11,00:00:00,51.525632660362646,-20.1702891591957,1.4590108374462125,2.874533448962409,-622.8492645360529,-373.0285658541867,Median
2021-11-11,06:00:00,51.02001617380237,-20.993580338759894,2.4109057081650933,3.7643950440147336,-586.6001401725225,-387.3084833118204,Kent(MLE)
2021-11-11,12:00:00,49.80473577160516,-21.237751817991647,3.043164587773306,4.656162175742134,-560.2399806084577,-392.0119378044739,Kent(MLE)
2021-11-11,18:00:00,48.67660348161426,-21.528865719648746,3.4857512736363416,5.300927742192885,-531.9229086593259,-397.4042321481479,Kent(MLE)
2021-11-12,00:00:00,47.516238288474305,-21.932385307094997,4.201662800955764,5.839003189712621,-502.9531021278817,-404.4200072343866,Kent(MLE)
2021-11-12,06:00:00,46.24270112114889,-22.139810736727593,5.081593377748047,6.346036582338555,-475.58270116033964,-408.26593895596005,Kent(MLE)
2021-11-12,12:00:00,45.00521243103217,-22.393854472078857,6.480881572704095,6.599660568547049,-447.0425233503338,-412.76552926677897,Kent(MLE)
2021-11-12,18:00:00,43.47976696927123,-22.941095324264335,8.3251653056301,6.796572211359299,-421.0823767790571,-421.5494562285981,Kent(MLE)
2021-11-13,00:00:00,42.08326067239293,-23.599272636839277,9.670033037350905,6.751712619151855,-392.7390438327566,-431.97383141596237,Kent(MLE)
2021-11-13,06:00:00,40.61243647745434,-24.690971945624963,12.737028448665285,6.882797792591017,-363.95763840177096,-448.78697788807324,Kent(MLE)
2021-11-13,12:00:00,38.58115688307816,-26.2293246685116,17.836315766900782,6.623382552171278,-341.70729922829196,-471.8337809806136,Kent(MLE)
2021-11-13,18:00:00,35.69478483150051,-27.820088739628837,31.96424240376826,6.2266530633291195,-331.2375693079084,-495.01145352091197,Kent(MLE)
2021-11-14,00:00:00,29.91410786504055,-29.35127902611909,71.1653632672265,5.015546323212324,-360.052515268093,-516.0210358195685,Kent(MLE)
2021-11-14,06:00:00,21.90988582686644,-30.240395634933876,121.57725055593313,3.907344433264685,-418.07773475768045,-526.6788792149393,Kent(MLE)
2021-11-14,12:00:00,11.487974263222565,-30.424079684302026,152.47987554970288,4.688618793838862,-504.23248376278207,-525.9085065649625,Kent(MLE)
2021-11-14,18:00:00,2.2090474111269174,-29.526636827681198,166.584100186231,5.373063953649192,-576.4214101114776,-509.76252264430053,Kent(MLE)
2021-11-15,00:00:00,355.0721400710128,-28.347930927351317,158.37484348968368,5.106688023164004,-623.6138684609905,-490.26490671123554,Kent(MLE)
2021-11-15,06:00:00,351.7019933111306,-27.674173764170646,90.87489225447827,4.150703023049347,-628.3388061362784,-480.07213769889773,Kent(MLE)
2021-11-15,12:00:00,348.9627948593962,-26.821031458853682,16.624757157176436,2.493688380399004,-627.4519952984992,-467.4971623451269,Kent(MLE)
