date,time,lon,lat,elon,elat,HP-Tx,HP-Ty
2021-11-11,09:39:38.244559,54.27961598675509,-22.626998065378896,0.0,0.0,-513.2369810200762,-414.1009874274092
2021-11-11,15:39:38.244559,51.599018772651114,-24.011648969140143,0.0,0.0,-499.91465473058634,-434.9438320724354
2021-11-11,21:39:38.244559,51.02914831282747,-24.177557835952545,0.0,0.0,-462.7752169498708,-437.21844420135346
2021-11-12,03:39:38.244559,50.7861006318842,-24.182110691867273,0.0,0.0,-422.92586106061935,-439.05407612748394
2021-11-12,09:39:38.244559,50.650627642815664,-24.335541962530677,0.0,0.0,-378.1670894911513,-441.14859807509936
2021-11-12,15:39:38.244559,50.507910748158665,-24.40881546416107,0.0,0.0,-334.60716640087776,-444.1519194385562
2021-11-12,21:39:38.244559,50.27504836722449,-24.62895994435088,0.0,0.0,-289.89578386512585,-447.7808368696325
2021-11-13,03:39:38.244559,46.51044852019513,-25.517335279236733,0.0,0.0,-295.91540186526254,-462.6549816872115
2021-11-13,09:39:38.244559,45.58731568088028,-25.546653525191488,0.0,0.0,-259.1991565464996,-459.43371658369097
2021-11-13,15:39:38.244559,45.47783557148953,-25.650933372624987,0.0,0.0,-213.69741837191395,-464.00691974838725
2021-11-13,21:39:38.244559,45.26679613637795,-26.053825932851716,0.0,0.0,-166.33402436762117,-467.7566375770446
2021-11-14,03:39:38.244559,43.8406178817442,-28.25195814451675,0.0,0.0,-136.41349255829118,-502.01220366620953
2021-11-14,09:39:38.244559,42.831873898642044,-29.32235925964106,0.0,0.0,-101.70989940897562,-517.8634569205088
2021-11-14,15:39:38.244559,42.23213579189063,-30.044333389851776,0.0,0.0,-61.52788371848874,-527.2599734050923
2021-11-14,21:39:38.244559,40.5143288299495,-30.824989977992754,0.0,0.0,-38.0419342063833,-536.6009347736667
2021-11-15,03:39:38.244559,37.64604896563181,-33.31359934221631,0.0,0.0,-31.168299957411364,-573.8948336982893
2021-11-15,09:39:38.244559,27.401243361813773,-52.27231580840715,0.0,0.0,-94.17923841276206,-793.5571508745751
2021-11-19,15:39:38.244559,337.48176300245166,-27.14118062639037,0.0,0.0,-45.7841293187812,-476.91544645431946
2021-11-19,21:39:38.244559,338.2383984827192,-27.579140226711328,0.0,0.0,15.228382472438371,-483.58175875954464
2021-11-20,03:39:38.244559,339.8316032677354,-28.280339095220473,0.0,0.0,87.65235620787689,-491.3670204780671
2021-11-20,09:39:38.244559,341.8379117195794,-28.714748109959043,0.0,0.0,165.70850224696633,-499.0813947620643
2021-11-20,15:39:38.244559,348.3555587890195,-29.390204993652276,0.0,0.0,303.98429840287986,-507.1088673440167
2021-11-20,21:39:38.244559,37.59809687302471,-33.53317211307981,0.0,0.0,775.4687036181795,-544.0310019689042
2021-11-21,03:39:38.244559,44.02571278888351,-28.231301157457818,0.0,0.0,847.3195772479146,-461.4462932251273
2021-11-21,09:39:38.244559,50.52988428689439,-24.70339565736763,0.0,0.0,nan,nan
2021-11-21,15:39:38.244559,51.57262769222888,-24.66149483300986,0.0,0.0,nan,nan
2021-11-21,21:39:38.244559,92.205878107425,-26.378286949909093,0.0,0.0,nan,nan
2021-11-22,03:39:38.244559,92.6106916399882,-26.31013660366255,0.0,0.0,nan,nan
2021-11-22,09:39:38.244559,111.93088372236072,-23.14810825258218,0.0,0.0,nan,nan
2021-11-22,15:39:38.244559,113.14333995610464,-21.823265737959787,0.0,0.0,nan,nan
2021-11-22,21:39:38.244559,113.81011739296962,-19.311769247124797,0.0,0.0,nan,nan
2021-11-23,03:39:38.244559,115.16405956755798,-18.76249509840596,0.0,0.0,nan,nan
2021-11-23,09:39:38.244559,115.79703996886855,-19.16612687868483,0.0,0.0,nan,nan
2021-11-23,15:39:38.244559,116.14910218288405,-19.186712864811707,0.0,0.0,nan,nan
2021-11-23,21:39:38.244559,116.560995685169,-19.2875152661651,0.0,0.0,nan,nan
2021-11-24,03:39:38.244559,116.64546660064379,-19.24703453196881,0.0,0.0,nan,nan
