date,time,lon,lat,elon,elat
2020-1-15,12:00:00,168.558736408843,-34.87174627342,10,10
2020-1-16,12:00:00,164.932328762262,-33.3575282521037,10,10
2020-1-17,12:00:00,151.10074976064,-43.9864392131206,10,10
2020-1-18,12:00:00,116.449637822309,-56.4175225125204,10,10
2020-1-19,12:00:00,107.978727070013,-32.8248223241443,10,10
2020-1-20,12:00:00,99.7611045308376,-16.9500598833299,10,10
2020-1-21,12:00:00,97.9281826699653,-16.8726750949974,10,10
2020-1-22,12:00:00,91.3427652890735,-19.9201663551866,10,10
2020-1-23,12:00:00,87.8242581443048,-43.5259234668956,10,10
2020-1-24,12:00:00,78.3257436809747,-54.6936300518219,10,10
2020-1-25,12:00:00,74.4320355562848,-53.3749033925849,10,10
2020-1-26,12:00:00,74.4144791150296,-53.4404190145057,10,10
2020-1-27,12:00:00,79.3064516502566,-54.8707532942531,10,10
2020-1-28,12:00:00,91.0244453623883,-31.4145998150562,10,10
2020-1-29,12:00:00,93.0574328199832,-18.8093260846176,10,10
2020-1-30,12:00:00,107.17717168144,-32.6049013857201,10,10
2020-1-31,12:00:00,107.786859590772,-33.2156405271513,10,10
2020-2-1,12:00:00,108.137585088644,-33.4541515314795,10,10
2020-2-2,12:00:00,107.841249771445,-33.0482587925885,10,10
2020-2-3,12:00:00,108.972110959867,-29.7773375767154,10,10
2020-2-4,12:00:00,100.11846847121,-17.3343148573286,10,10
2020-2-5,12:00:00,98.5868481991071,-16.9090076414667,10,10
2020-2-6,12:00:00,93.2893095714873,-17.7531283262999,10,10
2020-2-7,12:00:00,90.8350874878961,-21.6945946296579,10,10
2020-2-8,12:00:00,85.44340868869,-47.2509831099749,10,10
2020-2-9,12:00:00,62.5287444151009,-54.9058878532911,10,10
2020-2-10,12:00:00,59.2849473293532,-54.572258511871,10,10
2020-2-11,12:00:00,44.5551790170284,-59.6590981568731,10,10
