date,time,Tx(GONG),Ty(GONG),Tx(HMI),Ty(HMI),lon(GONG),lat(GONG),elon(GONG),elat(GONG),lon(HMI),lat(HMI),elon(HMI),elat(HMI)
2020-01-01,00:00:00,-737.5979823381641,-446.05972675079835,-701.3791106559802,461.641860556548,12.014186072613896,-28.57835600798255,10.0,10.0,17.757960555602594,26.3846358043805,10.0,10.0
2020-01-01,06:00:00,-731.3280105905142,-441.19216859441434,-669.5716062383726,473.1873315405378,10.062821140374432,-28.25000274907033,10.0,10.0,17.469715308095978,26.995455272148156,10.0,10.0
2020-01-01,12:00:00,-727.0740808527918,-443.8204093347961,-630.573117769789,497.3390503448432,6.991467214291884,-28.481607763772296,10.0,10.0,17.10592552134404,28.51947880878996,10.0,10.0
2020-01-01,18:00:00,-719.7030173907988,-445.7573172586167,-472.7542495357337,815.0984878175383,4.512875862749413,-28.642358649541357,10.0,10.0,5.14743278290904,54.43483513526533,10.0,10.0
2020-01-02,00:00:00,-710.3709917271043,-452.056563523,-464.2007553947623,817.5253288032802,1.6661110466439548,-29.17266777370736,10.0,10.0,2.9660415936885527,54.62890455234614,10.0,10.0
2020-01-02,06:00:00,-687.51116296486,-460.7625805828977,-451.9448762205429,817.4669943522357,0.8691109330263775,-29.756220023652183,10.0,10.0,0.9963032152379444,54.87913377215312,10.0,10.0
2020-01-02,12:00:00,-686.3861570069566,-479.9763801942223,-451.6906841623132,821.6562698673358,356.53138737279886,-31.053441931868754,10.0,10.0,356.509955252993,55.463107302917344,10.0,10.0
2020-01-02,18:00:00,-673.0451115698087,-485.8005805999193,-450.209992119344,828.9229614891548,354.10690321860864,-31.59434599916434,10.0,10.0,352.9979159070996,55.86516931048409,10.0,10.0
2020-01-03,00:00:00,-654.1778155528009,-489.84378819348086,-434.95407581608737,842.072111876715,352.657826139588,-31.96399917972849,10.0,10.0,347.48432843568764,57.935170153266256,10.0,10.0
2020-01-03,06:00:00,-633.4086830299348,-492.7837062897779,-456.2671731426381,849.3234682833463,351.46896786824533,-32.244847205269124,10.0,10.0,338.35147662796624,58.52653660976315,10.0,10.0
2020-01-03,12:00:00,-612.1342732070481,-494.73337074719734,-481.4764343430288,839.9509764881503,350.44832685814805,-32.4044997359235,10.0,10.0,330.85850812446233,57.78588247507142,10.0,10.0
2020-01-03,18:00:00,-584.5400008209981,-496.51689740562966,-551.224832390435,799.8449493814253,349.45414141879354,-32.76477074263478,10.0,10.0,321.942901193735,53.88415100762241,10.0,10.0
2020-01-04,00:00:00,-556.9940057883505,-497.51211363761087,-594.1991570664104,760.6640069311038,348.6150359681278,-32.991476946337336,10.0,10.0,319.82176270127695,50.14392819362485,10.0,10.0
2020-01-04,06:00:00,-528.78756165714,-498.7831887042469,-608.6148156714627,749.6716696289636,347.98174722578705,-33.123457349136984,10.0,10.0,316.2026871286789,49.09651532081743,10.0,10.0
2020-01-04,12:00:00,-493.380563800456,-502.063431036437,-728.6679826220497,631.2934384757078,347.57168926461037,-33.52748678832405,10.0,10.0,309.54807370730936,39.492391946130354,10.0,10.0
2020-01-04,18:00:00,-459.60994419874623,-509.93474160070457,-764.5209459373727,578.8578831564863,347.18292212308256,-34.005246191584675,10.0,10.0,308.1576820360251,35.35622964413147,10.0,10.0
2020-01-05,00:00:00,-416.9706654734909,-520.180326562377,-809.0956443047618,508.7011747324062,346.8440161903225,-35.00935507641079,10.0,10.0,304.08090136733375,30.51389504682802,10.0,10.0
2020-01-05,06:00:00,-378.31123434309853,-543.9604235829033,-816.3270763368346,486.90530885406616,346.42231011417203,-36.46224895906518,10.0,10.0,302.64376854761014,28.841512155907157,10.0,10.0
2020-01-05,12:00:00,-2044.4145860995634,203.1506139748313,-820.6204152668361,476.16769928507597,316.06467469791437,2.7366424663967965,10.0,10.0,301.46206020440457,27.748106637042106,10.0,10.0
2020-01-05,18:00:00,-462.3755026985891,847.3570572721312,-809.8705538439099,462.2952551384652,303.3304418110444,58.58944632900426,10.0,10.0,300.13622586034137,26.93519637778855,10.0,10.0
2020-01-06,00:00:00,-462.96781994542107,843.9618068432358,-807.2405325458385,453.29532459912974,301.78566017346606,58.03649238408802,10.0,10.0,299.0566454838206,26.041731361670593,10.0,10.0
2020-01-06,06:00:00,-461.9797687041573,840.3063248044539,-797.4020631294698,445.5692486234676,299.9624812947756,57.60143997948014,10.0,10.0,297.82823608163346,25.42399530549325,10.0,10.0
2020-01-06,12:00:00,-640.4764582070056,688.1613465187361,-792.6203774109018,435.2246510439624,294.3258662701711,43.258098266324126,10.0,10.0,296.1280463963392,24.606291209714108,10.0,10.0
2020-01-06,18:00:00,-631.9282225249335,690.5335592214868,-785.1478847898543,416.83042224869433,294.04851665176164,42.85498838543992,10.0,10.0,294.15628089651943,23.485231528596863,10.0,10.0
2020-01-07,00:00:00,-614.7795971299056,688.3607498208987,-780.5868922721129,411.1564362073524,293.42904218828096,42.68478288769453,10.0,10.0,292.52010700610805,22.852716387872352,10.0,10.0
