date,date,time,Tx(GONG),Ty(GONG),Tx(HMI),Ty(HMI),lon(GONG),lat(GONG),elon(GONG),elat(GONG),lon(HMI),lat(HMI),elon(HMI),elat(HMI)
2020-01-01,2020-01-01,00:00:00,-803.1441396559,-461.5146428321,-701.379110656,461.6418605565,1.440064933,-29.1046313201,10,10,17.7579605556,26.3846358044,10,10
2020-01-02,2020-01-02,00:00:00,-744.5241578994,-458.1344717374,-464.2007553948,817.5253288033,357.226122319,-29.3539759439,10,10,2.9660415937,54.6289045523,10,10
2020-01-03,2020-01-03,00:00:00,-681.6849905306,-473.4943758373,-434.9540758161,842.0721118767,350.9327174485,-30.6540534485,10,10,347.4843284357,57.9351701533,10,10
2020-01-04,2020-01-04,00:00:00,-587.2854156098,-461.8584746429,-594.1991570664,760.6640069311,347.2219964059,-30.5231318946,10,10,319.8217627013,50.1439281936,10,10
2020-01-05,2020-01-05,00:00:00,-452.7231005216,-458.3169827008,-809.0956443048,508.7011747324,345.8423310351,-30.6471968636,10,10,304.0809013673,30.5138950468,10,10
2020-01-06,2020-01-06,00:00:00,-531.426464645,-718.7197046927,-807.2405325458,453.2953245991,309.6138458383,-48.9910651022,10,10,299.0566454838,26.0417313617,10,10
2020-01-07,2020-01-07,00:00:00,-488.0367628168,-734.0760608692,-780.5868922721,411.1564362074,299.9076840181,-50.7846041535,10,10,292.5201070061,22.8527163879,10,10
2020-01-08,2020-01-08,00:00:00,-535.8664778573,-706.0191028167,-726.5876415351,411.3031557576,283.8646280543,-48.1502960127,10,10,285.5107471883,22.5228990788,10,10
2020-01-09,2020-01-09,00:00:00,-448.2945252082,-723.8122552498,-636.2488136685,475.3163919771,279.718876708,-50.3452528341,10,10,278.9864793877,26.4168589182,10,10
2020-01-10,2020-01-10,00:00:00,-354.8152776393,-824.2335280868,-513.9508006801,645.5180940765,265.5323486377,-60.1760055967,10,10,270.8959738261,37.9903069808,10,10
2020-01-11,2020-01-11,00:00:00,-436.9951391097,-839.7800828285,-384.980082029,784.1827013287,234.2509197908,-60.6007307973,10,10,261.2104991681,50.1798683265,10,10
2020-01-12,2020-01-12,00:00:00,-855.6451264471,-372.1499519652,-850.8885888986,-384.1057901443,213.6444030442,-23.6376510383,10,10,213.867946106,-24.3776985212,10,10
2020-01-13,2020-01-13,00:00:00,-2152.5584005059,192.3700073775,-816.2665389492,-346.2237170198,212.5240787566,2.3338189406,10,10,209.0099848067,-22.5223267802,10,10
