date,time,lon,lat,elon,elat
2020-01-20,12:00:00,98.53,-64.73,0.00,0.00
2020-01-21,12:00:00,91.85,-61.54,0.00,0.00
2020-01-22,12:00:00,87.86,-61.99,0.00,0.00
2020-01-23,12:00:00,81.76,-61.63,0.00,0.00
2020-01-24,12:00:00,76.04,-62.46,0.00,0.00
2020-01-25,12:00:00,69.68,-63.37,0.00,0.00
2020-01-26,12:00:00,66.55,-63.12,0.00,0.00
2020-01-27,12:00:00,68.64,-63.59,0.00,0.00
2020-01-28,12:00:00,76.71,-62.94,0.00,0.00
2020-01-29,12:00:00,85.42,-63.52,0.00,0.00
2020-01-30,12:00:00,92.16,-63.53,0.00,0.00
2020-01-31,12:00:00,99.26,-65.32,0.00,0.00
2020-02-01,12:00:00,101.66,-66.25,0.00,0.00
2020-02-02,12:00:00,102.12,-66.01,0.00,0.00
2020-02-03,12:00:00,100.35,-65.24,0.00,0.00
2020-02-04,12:00:00,96.70,-64.70,0.00,0.00
2020-02-05,12:00:00,92.95,-62.19,0.00,0.00
2020-02-06,12:00:00,89.96,-61.69,0.00,0.00
2020-02-07,12:00:00,85.71,-62.74,0.00,0.00
2020-02-08,12:00:00,80.68,-61.72,0.00,0.00
2020-02-09,12:00:00,73.64,-62.49,0.00,0.00
2020-02-10,12:00:00,62.61,-62.35,0.00,0.00
