date,time,Tx(GONG),Ty(GONG),Tx(HMI),Ty(HMI),lon(GONG),lat(GONG),elon(GONG),elat(GONG),lon(HMI),lat(HMI),elon(HMI),elat(HMI)
2020-01-30,14:13:46.560004,427.30996995211945,-757.5786751394108,278.16566129491696,-797.8304633053912,90.84200000000001,-54.9453,0.0,1.4082,82.6971,-59.7622,0.5325,0.4535
2020-01-31,00:29:13.919998,521.7212914690821,-721.9611566368355,547.5654315379428,-699.7146119148043,93.8855,-51.0804,0.7119,1.5614,94.2453,-49.1016,0.4514,6.9255
2020-02-01,00:55:26.399982,635.3115015690784,-718.0734243537484,764.3408133006028,-580.8224633786358,103.339,-48.7206,0.3818,1.7141,104.36,-37.6394,1.4359,13.8334
2020-02-02,00:53:34.080012,nan,nan,nan,nan,106.48299999999999,51.7671,0.3233,98.0617,107.096,-36.5646,0.6124,9.0226
2020-02-03,01:19:03.359989,nan,nan,nan,nan,107.255,52.1023,0.0562,96.1027,107.02799999999999,-35.7272,0.2475,3.6778
2020-02-04,00:59:02.400017,nan,nan,nan,nan,105.197,53.1644,0.2285,90.5552,103.132,-35.2547,0.1872,1.0946
