date,time,lon,lat,elon,elat
2020-01-28,10:42:23.039985,65.6512,-63.627,0,0.2139
2020-01-28,11:32:03.839991,66.0045,-63.6731,0.3533,0.26
2020-01-28,12:33:50.400011,66.3681,-63.7176,0.3636,0.3592
2020-01-28,13:44:15.359995,66.7418,-63.7592,0.3737,0.375
2020-01-28,14:56:41.280016,67.1252,-63.785,0.3834,0.3982
2020-01-28,16:04:39.360008,67.518,-63.8637,0,0.5471
2020-01-28,17:10:53.760016,67.92,-63.9429,0.402,0.6108
2020-01-28,18:31:32.160004,68.3307,-63.9168,0,0.5006
2020-01-28,19:43:49.439999,68.7499,-63.9675,0,0.7533
2020-01-28,20:56:58.559986,69.1774,-64.0251,0,0.7452
2020-01-28,21:27:21.599987,69.6127,-64.0876,0.4429,0.8077
2020-01-28,22:38:29.760019,70.0556,-64.1551,0.4502,0.7334
2020-01-28,23:51:56.160017,70.5058,-64.2162,0.4571,0.7268
2020-01-29,01:04:04.799986,70.9629,-64.286,0.4571,0.744
2020-01-29,01:48:34.559998,71.4268,-64.4582,0.4639,0.8825
2020-01-29,03:08:47.039990,71.8969,-64.4893,0.4701,0.8295
2020-01-29,04:07:06.240000,72.3732,-64.5759,0.4763,0.8565
2020-01-29,04:25:58.080009,72.8551,-64.7821,0.4819,1.0118
2020-01-29,05:08:09.600013,73.3425,-64.8557,0.9693,0.9191
2020-01-29,05:30:20.160006,73.8351,-64.9771,0.98,1.005
2020-01-29,05:30:28.799991,74.3325,-65.4278,1.4774,1.4557
2020-01-29,05:55:32.160012,74.8344,-65.4638,1.9793,1.4917
2020-01-29,06:43:29.279993,75.3405,-65.5062,1.998,1.4323
2020-01-29,07:51:36.000011,75.8505,-65.4523,2.0154,1.3766
2020-01-29,08:51:12.960010,76.3641,-65.458,2.0316,1.1706
2020-01-29,09:31:14.879993,76.881,-65.5558,2.5485,1.2393
2020-01-29,10:36:02.879987,77.4009,-65.4721,1.5504,0.5787
2020-01-29,11:29:19.679988,77.9235,-65.5217,1.5594,0.6589
2020-01-29,12:14:06.720010,78.4485,-65.6105,1.5675,0.611
2020-01-29,13:10:33.600010,78.9755,-65.5938,1.5746,0.6165
2020-01-29,13:53:11.040011,79.5043,-65.66,1.5808,0.5259
2020-01-29,14:44:26.880016,80.0346,-65.719,1.5861,0.5557
2020-01-29,15:41:28.319997,80.566,-65.9918,1.0617,0.7695
2020-01-29,16:58:13.440020,81.0983,-66.0925,1.0637,0.6312
2020-01-29,18:23:54.240018,81.6311,-66.1557,0.5328,0.5683
2020-01-29,19:50:00.960012,82.1641,-66.2374,0.533,0.6747
2020-01-29,22:01:03.360013,82.6971,-66.2994,0.533,0.7426
2020-01-29,23:35:05.280004,83.2296,-66.3562,0.5325,0.5663
2020-01-30,01:32:52.799988,83.7615,-66.3077,0.5319,0.3871
2020-01-30,01:41:48.480003,84.2925,-66.6232,1.0629,0.7026
2020-01-30,02:54:31.679994,84.8221,-66.6658,1.0606,0.7548
2020-01-30,03:59:19.679988,85.3501,-66.7024,1.0576,0.5586
2020-01-30,04:54:46.080010,85.8762,-66.7358,1.0541,0.5594
