date,time,lon,lat,elon,elat,HP-Tx,HP-Ty
2021-11-15,08:23:47.829372,12.420074068616552,-37.0560198225071,0.0,0.0,-325.9253762331791,-620.0936013001307
2021-11-15,14:23:47.829372,354.9244875742866,-28.376114618036215,0.0,0.0,-536.0728917762171,-491.4643242184297
2021-11-15,20:23:47.829372,352.33411978391194,-27.999336692851454,0.0,0.0,-528.3953269729391,-484.7170137838573
2021-11-16,02:23:47.829372,349.5545317440371,-24.738009531340314,0.0,0.0,-538.981507722754,-437.72408302325545
2021-11-16,08:23:47.829372,348.59851290697685,-23.307109885761133,0.0,0.0,-517.7550622355193,-418.2161542232142
2021-11-16,14:23:47.829372,347.91764958794806,-22.746845450819606,0.0,0.0,-485.556645484874,-409.89108541542356
2021-11-16,20:23:47.829372,346.5594749938221,-22.25591824217927,0.0,0.0,-459.6544332182966,-401.0983649259422
2021-11-17,02:23:47.829372,345.5052325996614,-21.879696679254753,0.0,0.0,-430.49198882910423,-395.7852176856752
2021-11-17,08:23:47.829372,345.1225630847497,-21.742883159754268,0.0,0.0,-389.97531513660215,-393.8952184374357
2021-11-17,14:23:47.829372,344.809655805288,-21.708442345629138,0.0,0.0,-348.2525276874658,-394.6981184139021
2021-11-17,20:23:47.829372,344.48425148647993,-21.75588110891015,0.0,0.0,-306.1921088874806,-397.6964923640797
2021-11-18,02:23:47.829372,344.2591753074343,-21.708514250580034,0.0,0.0,-259.64347862359136,-396.21145629113846
2021-11-18,08:23:47.829372,343.8633423369489,-21.696828308585133,0.0,0.0,-215.28710318286903,-395.47629024854956
2021-11-18,14:23:47.829372,343.47592190203494,-21.691421349084774,0.0,0.0,-170.41245583933778,-394.8169347546059
2021-11-18,20:23:47.829372,342.7370519837649,-21.854545102129844,0.0,0.0,-131.5210939485114,-399.65977224686964
2021-11-19,02:23:47.829372,342.49481506987905,-21.846218493188136,0.0,0.0,-83.56564774480648,-398.6898561717133
2021-11-19,08:23:47.829372,342.6904538618122,-21.81807200510036,0.0,0.0,-28.644553562859073,-397.4459323778536
2021-11-19,14:23:47.829372,343.348811098365,-21.791661441489047,0.0,0.0,33.56437747243546,-396.3443246039108
2021-11-19,20:23:47.829372,344.1020352934342,-21.75979045877065,0.0,0.0,97.04675978161579,-394.9496475040196
2021-11-20,02:23:47.829372,344.6537481961442,-21.83168412195975,0.0,0.0,157.0935436363656,-395.85132973059615
2021-11-20,08:23:47.829372,345.6034100835079,-22.05858727583454,0.0,0.0,221.35826836008783,-397.1026172697684
2021-11-20,14:23:47.829372,349.0381496069085,-23.981923069015995,0.0,0.0,317.97956132155235,-425.87901156976795
2021-11-20,20:23:47.829372,13.356610711390761,-36.873006026983155,0.0,0.0,580.3233118918843,-598.9235945366396
2021-11-21,02:23:47.829372,40.5059287974617,-29.353694588682124,0.0,0.0,830.5720657900961,-481.3733592238042
2021-11-21,08:23:47.829372,46.17547227960031,-25.541696057741216,0.0,0.0,873.054693634805,-418.269616095785
2021-11-21,14:23:47.829372,51.39438825345571,-24.2634569518635,0.0,0.0,nan,nan
2021-11-21,20:23:47.829372,90.13442936440401,-26.54819086375806,0.0,0.0,nan,nan
2021-11-22,02:23:47.829372,109.9879002196223,-23.83926094847884,0.0,0.0,nan,nan
2021-11-22,08:23:47.829372,112.65729189788902,-18.517336301727713,0.0,0.0,nan,nan
2021-11-22,14:23:47.829372,113.74519765310009,-17.698662319482004,0.0,0.0,nan,nan
2021-11-22,20:23:47.829372,114.70229579038445,-17.34932395036368,0.0,0.0,nan,nan
2021-11-23,02:23:47.829372,115.43282936659598,-17.182305079047854,0.0,0.0,nan,nan
2021-11-23,08:23:47.829372,116.20553727902623,-17.054771344301507,0.0,0.0,nan,nan
2021-11-23,14:23:47.829372,116.57796320957513,-17.045040667842308,0.0,0.0,nan,nan
2021-11-23,20:23:47.829372,116.99064410778895,-16.9487103594453,0.0,0.0,nan,nan
2021-11-24,02:23:47.829372,117.24255032542885,-16.86139019031108,0.0,0.0,nan,nan
2021-11-24,08:23:47.829372,117.35549549313453,-16.800395671859395,0.0,0.0,nan,nan
2021-11-24,14:23:47.829372,117.34962790610395,-16.767335354869846,0.0,0.0,nan,nan
2021-11-24,20:23:47.829372,117.24374775758331,-16.758689182786483,0.0,0.0,nan,nan
2021-11-25,02:23:47.829372,117.05596893972616,-16.769003341417534,0.0,0.0,nan,nan
2021-11-25,08:23:47.829372,116.80270835023768,-16.790780623661888,0.0,0.0,nan,nan
2021-11-25,14:23:47.829372,116.50088122035359,-16.813090841719166,0.0,0.0,nan,nan
2021-11-25,20:23:47.829372,116.16491389225476,-16.835747473661886,0.0,0.0,nan,nan
2021-11-26,02:23:47.829372,115.80801467599622,-16.860871275443007,0.0,0.0,nan,nan
2021-11-26,08:23:47.829372,115.45211971518518,-16.895886221213324,0.0,0.0,nan,nan
2021-11-26,14:23:47.829372,115.09724663488423,-16.94095587632637,0.0,0.0,nan,nan
2021-11-26,20:23:47.829372,114.7447042857411,-16.997624550215598,0.0,0.0,nan,nan
2021-11-27,02:23:47.829372,114.40696806297903,-17.069508099740034,0.0,0.0,nan,nan
2021-11-27,08:23:47.829372,114.0850579992311,-17.16556371963236,0.0,0.0,nan,nan
2021-11-27,14:23:47.829372,113.77819207289804,-17.290367157226395,0.0,0.0,nan,nan
2021-11-27,20:23:47.829372,113.44982263346012,-17.413142217168517,0.0,0.0,nan,nan
2021-11-28,02:23:47.829372,113.16842918568119,-17.57267169792466,0.0,0.0,nan,nan
