date,time,lon,lat,elon,elat,HP-Tx,HP-Ty,Cons-Type
2021-11-15,00:00:00,358.5700044794118,-20.04687151505367,170.26475299225496,13.341104667863348,-626.5122576165013,-366.120090397713,Kent(MLE)
2021-11-15,06:00:00,356.2560338231025,-20.42529292918102,164.336335027409,12.416881663145988,-613.58767085406,-372.2900204598607,Kent(MLE)
2021-11-15,12:00:00,352.7773161549496,-19.784070398374556,134.77696869238332,11.222992954265315,-618.3047403797973,-361.80405809086426,Kent(MLE)
2021-11-15,18:00:00,350.1575966604188,-20.890446607956786,89.69972951319794,9.31878614714835,-605.98290955415,-379.2005828877543,Kent(MLE)
2021-11-16,00:00:00,348.0858947692639,-21.992972794942816,50.23409124058385,7.40381670145611,-586.9713670390192,-396.66583154973847,Kent(MLE)
2021-11-16,06:00:00,346.3190230716233,-22.90123189168835,17.568904557933386,5.199122078643128,-564.8301337943412,-411.117942895563,Kent(MLE)
2021-11-16,12:00:00,344.9112440787546,-23.348471718037718,32.598987598033396,3.7961621663640543,-539.8590051124338,-418.5419499716473,Kent(MLE)
2021-11-16,18:00:00,344.08547170311647,-23.025811023717356,23.670711729923315,4.780457078857589,-509.98907022713684,-414.3488608849644,Kent(MLE)
2021-11-17,00:00:00,343.44160655506005,-22.7851409803231,17.107952564110672,5.594403101651398,-476.2915805054363,-411.3885535434842,Kent(MLE)
2021-11-17,06:00:00,342.7745569332185,-22.534664143003063,2.8087862698197053,6.3100251858312015,-441.7742708097212,-408.1611490079859,Kent(MLE)
2021-11-17,12:00:00,342.2177400284367,-22.469982282538226,2.8338611429914318,6.249494343141037,-404.0846036458388,-407.73058068193046,Kent(MLE)
2021-11-17,18:00:00,341.78034286192315,-22.413192830688047,2.836877646858984,6.19293571444495,-363.6845968554262,-407.3499244733,Kent(MLE)
2021-11-18,00:00:00,341.3467986438131,-22.373772200241337,2.7676694968551128,6.167182221221123,-322.2334647383541,-407.1238404722529,Kent(MLE)
2021-11-18,06:00:00,341.01613376327464,-22.3929742711842,2.7296310626121354,6.117292065567239,-278.28434779983945,-407.7116425314642,Kent(MLE)
2021-11-18,12:00:00,340.90581298860025,-22.374647834619214,2.726855076061223,6.127496558485274,-230.30417423439212,-407.6408126029493,Kent(MLE)
2021-11-18,18:00:00,340.9067711331988,-22.546224382261038,2.6666042139090447,5.717409484878631,-179.6234044060111,-410.38051500542366,Kent(MLE)
2021-11-19,00:00:00,341.1784857617541,-22.78464946873939,2.6131222477263623,4.939336375279738,-124.19318872806616,-414.03172553240745,Kent(MLE)
2021-11-19,06:00:00,341.7531058173957,-23.075642299037302,2.6492369643802642,4.032624568877649,-63.70732617098838,-418.3400782508629,Kent(MLE)
2021-11-19,12:00:00,343.0547063956623,-23.063661651034508,3.9753696606099296,4.401786797329548,8.190750411812248,-417.8107279998101,Kent(MLE)
2021-11-19,18:00:00,345.12916752188823,-23.834087679593853,15.429082678622876,4.25894134208467,91.55248819473545,-428.96840870657985,Kent(MLE)
2021-11-20,00:00:00,350.30568437154267,-25.603859563161397,136.7459417059421,5.730685104571848,218.07497242834032,-454.3889845715324,Kent(MLE)
2021-11-20,06:00:00,0.9451639309846539,-28.518770462668446,163.64269533514081,6.783431373688592,405.8446637417028,-494.0718996794104,Kent(MLE)
2021-11-20,12:00:00,16.83606287999752,-30.40889884650903,146.5349425900507,4.262768231210289,618.8265281215458,-514.082669628885,Kent(MLE)
2021-11-20,18:00:00,32.96060005912435,-29.422968458407293,76.07117772835852,6.065530064013944,779.0859524741094,-489.8859097110246,Kent(MLE)
2021-11-21,00:00:00,47.35463876738775,-28.539406946388638,27.118061637692225,7.101811656091017,849.432875187099,-466.69162011462413,Kent(MLE)
2021-11-21,06:00:00,61.92080740877459,-28.16502474789079,22.364454128164873,5.7438087864290965,nan,nan,Kent(MLE)
2021-11-21,12:00:00,77.88148260557682,-27.96028747749051,24.216756508102662,5.324024377273492,nan,nan,Kent(MLE)
2021-11-21,18:00:00,91.86863286401633,-26.5561563101031,18.774730270770636,6.770310619680912,nan,nan,Kent(MLE)
