date,time,lon,lat,jd,elon,elat
2021-11-20,17:54:23.040009,34.2506,-34.2042,2.45954e+06,10,10
2021-11-20,19:02:12.480016,33.8821,-32.7245,2.45954e+06,10,10
2021-11-20,20:35:13.919990,34.7123,-32.156,2.45954e+06,10,10
2021-11-20,22:43:23.520003,35.8478,-31.7543,2.45954e+06,10,10
2021-11-21,00:36:34.560014,37.3857,-31.3465,2.45954e+06,10,10
2021-11-21,02:04:33.600018,39.5826,-30.4751,2.45954e+06,10,10
2021-11-21,04:20:55.679999,41.1406,-29.7228,2.45954e+06,10,10
2021-11-21,06:25:55.200014,41.9533,-29.0098,2.45954e+06,10,10
2021-11-21,07:52:10.559993,43.0262,-28.4419,2.45954e+06,10,10
2021-11-21,09:21:53.279982,44.0094,-27.9891,2.45954e+06,10,10
2021-11-21,11:05:16.799985,45.354,-27.4994,2.45954e+06,10,10
2021-11-21,12:56:44.160011,46.4388,-27.1911,2.45954e+06,10,10
2021-11-21,14:49:37.920011,47.2808,-27.1561,2.45954e+06,10,10
2021-11-21,17:52:48.000010,48.6334,-26.8091,2.45954e+06,10,10
2021-11-21,20:02:23.999997,49.7011,-26.8862,2.45954e+06,10,10
2021-11-21,22:55:46.559988,50.0193,-27.5502,2.45954e+06,10,10
2021-11-22,00:32:41.280008,49.2608,-30.0829,2.45954e+06,10,10
2021-11-22,04:54:46.080010,94.162,-27.3227,2.45954e+06,10,10
2021-11-22,07:00:11.519980,93.7135,-26.7031,2.45954e+06,10,10
2021-11-22,08:35:48.480012,93.8966,-26.5816,2.45954e+06,10,10
2021-11-22,10:12:43.199991,94.0756,-26.5338,2.45954e+06,10,10
2021-11-22,11:43:52.319994,94.3343,-26.4914,2.45954e+06,10,10
2021-11-22,13:44:15.359995,94.4891,-26.483,2.45954e+06,10,10
2021-11-22,15:36:34.560014,94.4363,-26.4906,2.45954e+06,10,10
2021-11-22,16:51:10.080015,94.3343,-26.4914,2.45954e+06,10,10
2021-11-22,18:57:44.639989,94.4891,-26.483,2.45954e+06,10,10
2021-11-22,20:50:12.479992,94.4363,-26.4906,2.45954e+06,10,10
2021-11-22,23:06:51.839984,94.7908,-26.4802,2.45954e+06,10,10
2021-11-23,01:01:37.919995,94.8269,-26.4968,2.45954e+06,10,10
2021-11-23,02:57:24.479983,94.8927,-26.5156,2.45954e+06,10,10
2021-11-23,04:52:19.200018,94.9612,-26.5384,2.45954e+06,10,10
2021-11-23,07:01:55.200005,95.4615,-26.5531,2.45954e+06,10,10
2021-11-23,08:52:48.000010,95.6342,-26.5964,2.45954e+06,10,10
2021-11-23,10:37:03.360005,95.8021,-26.6685,2.45954e+06,10,10
2021-11-23,12:21:18.720000,96.0875,-26.7938,2.45954e+06,10,10
2021-11-23,14:43:35.039983,96.2889,-27.0585,2.45954e+06,10,10
2021-11-23,17:16:56.640003,96.0875,-26.7938,2.45954e+06,10,10
2021-11-23,19:50:52.800004,96.2889,-27.0585,2.45954e+06,10,10
2021-11-23,23:17:48.479995,108.591,-27.0252,2.45954e+06,10,10
2021-11-23,23:17:57.119981,109.44,-26.2702,2.45954e+06,10,10
2021-11-23,23:18:31.680003,109.643,-25.7038,2.45954e+06,10,10
2021-11-23,23:57:50.400019,110.019,-25.3552,2.45954e+06,10,10
2021-11-24,00:48:48.960013,110.257,-25.099,2.45954e+06,10,10
2021-11-24,01:52:45.120015,110.438,-24.8966,2.45954e+06,10,10
2021-11-24,03:11:22.560007,110.57,-24.7329,2.45954e+06,10,10
2021-11-24,04:38:55.680015,110.669,-24.5966,2.45954e+06,10,10
2021-11-24,06:13:32.159988,110.741,-24.4868,2.45954e+06,10,10
2021-11-24,07:53:45.599992,110.79,-24.402,2.45954e+06,10,10
2021-11-24,09:38:18.239999,110.82,-24.3402,2.45954e+06,10,10
2021-11-24,11:26:26.880000,110.833,-24.2995,2.45954e+06,10,10
2021-11-24,13:17:54.239986,110.83,-24.2783,2.45954e+06,10,10
2021-11-24,15:12:31.680011,110.812,-24.276,2.45954e+06,10,10
2021-11-24,16:33:01.440014,110.83,-24.2783,2.45954e+06,10,10
2021-11-24,18:28:30.719991,110.812,-24.276,2.45954e+06,10,10
2021-11-24,20:17:31.199985,110.81,-24.2175,2.45954e+06,10,10
2021-11-24,22:21:47.519992,110.761,-24.2518,2.45954e+06,10,10
2021-11-24,23:49:37.920011,110.928,-24.2736,2.45954e+06,10,10
2021-11-25,01:57:30.240013,110.86,-24.3468,2.45954e+06,10,10
2021-11-25,04:11:25.440002,110.774,-24.4373,2.45954e+06,10,10
2021-11-25,06:32:58.560019,110.668,-24.5444,2.45954e+06,10,10
2021-11-25,09:04:19.200002,110.541,-24.6673,2.45954e+06,10,10
2021-11-25,11:47:54.239986,110.386,-24.8047,2.45954e+06,10,10
2021-11-25,14:46:36.479997,110.199,-24.9554,2.45954e+06,10,10
2021-11-25,18:28:39.360016,110.199,-24.9554,2.45954e+06,10,10
