date,time,lon,lat,elon,elat
2020-01-21,22:15:53.279990,87.825,-32.2635,0.7453,6.4297
2020-01-22,00:48:14.399992,87.086,-32.3783,1.4843,6.1288
2020-01-22,03:00:25.919996,86.3533,-32.4029,2.217,6.1042
2020-01-22,05:20:15.359987,85.627,-32.4548,2.9433,6.0523
2020-01-22,06:51:24.479991,84.9069,-32.4086,3.6634,6.0985
2020-01-22,09:16:07.680006,84.1932,-32.4535,4.3771,6.0536
2020-01-22,11:56:06.719994,83.4859,-32.4846,4.3391,6.0225
2020-01-22,14:45:53.279990,82.7849,-32.5073,4.3011,17.352
2020-01-22,17:45:53.279990,82.0902,-32.5227,4.2631,17.5985
2020-01-22,20:56:41.280016,81.4019,-32.5302,3.505,18.1423
2020-01-22,21:33:59.039996,80.72,-32.5303,2.0649,18.1422
2020-01-23,00:57:27.360018,80.0444,-32.5173,1.3575,18.9656
2020-01-23,04:33:27.360010,79.3752,-32.4857,0.6692,20.0043
2020-01-23,08:06:43.199999,78.7124,-32.4519,1.3064,20.4494
2020-01-23,09:29:22.559983,78.056,-32.5639,0.6564,20.3374
2020-01-23,12:52:50.880005,77.406,-32.4976,0.65,20.6192
2020-01-23,15:54:08.639993,76.7624,-32.4334,2.5103,21.0953
2020-01-23,18:38:26.879984,76.1252,-32.3948,2.4846,20.9347
2020-01-23,20:18:31.680003,75.4944,-32.4082,2.4588,21.6021
2020-01-24,01:16:53.760008,72.437,-46.028,1.7567,8.1433
2020-01-24,01:17:02.399993,71.8448,-46.4068,1.1645,7.7645
2020-01-24,03:22:36.479989,71.2591,-46.2984,0.5857,7.8729
2020-01-24,06:38:44.159995,70.6803,-46.0192,1.1353,8.3253
2020-01-24,08:46:36.479997,70.1088,-46.0877,0.5715,8.2568
2020-01-24,11:14:38.399996,69.545,-45.9486,1.6402,9.0497
2020-01-24,12:28:30.719991,68.9894,-46.0483,1.0846,8.95
2020-01-24,14:47:02.399993,68.4425,-45.8354,1.0658,10.096
2020-01-24,15:48:31.680003,67.9048,-45.9229,1.0461,10.3441
