date,date,time,Tx(GONG),Ty(GONG),Tx(HMI),Ty(HMI),lon(GONG),lat(GONG),elon(GONG),elat(GONG),lon(HMI),lat(HMI),elon(HMI),elat(HMI)
2020-01-01,2020-01-01,00:00:00,-782.2456714587752,-511.9338399940554,-709.058650174411,439.591017350644,359.36414046778964,-32.525505302330245,0.0,0.0,18.240892584441664,24.795046645347124,0.0,0.0
2020-01-02,2020-01-02,00:00:00,-734.5378018196208,-500.8602326863716,-368.13626042753464,846.1041885653094,355.06163245331015,-32.2476054162111,0.0,0.0,13.664929955398009,57.34983956055476,0.0,0.0
2020-01-03,2020-01-03,00:00:00,-662.9806278047618,-493.5541297491949,-392.4784444214311,874.8306915001947,351.68105518065374,-32.112044733447306,0.0,0.0,349.1089326187211,61.02560734991711,0.0,0.0
2020-01-04,2020-01-04,00:00:00,-551.6082027759403,-489.3403493114935,-574.1905431435442,781.6197623083708,349.47419987429606,-32.447337306798055,0.0,0.0,320.71044088895377,51.72140524556383,0.0,0.0
2020-01-05,2020-01-05,00:00:00,-403.28589498694055,-514.533732856345,-728.7599726610351,625.6001822908859,348.4434175041398,-34.42333143765904,0.0,0.0,306.22445117913554,38.629851133122465,0.0,0.0
2020-01-06,2020-01-06,00:00:00,-428.5638374499977,863.926145345611,-820.0748610161246,431.207652157518,303.72568482469495,60.13408555194274,0.0,0.0,297.4215595473825,24.867764783971424,0.0,0.0
2020-01-07,2020-01-07,00:00:00,-386.58383812382823,865.4335792519614,-803.7671713605522,381.9332454760431,298.72806839320236,60.334429590323666,0.0,0.0,290.77811141027166,21.101733332797664,0.0,0.0
2020-01-08,2020-01-08,00:00:00,-329.8481690685731,895.7615207517472,-739.4648267824667,398.91837710813047,287.47378174892475,64.31664030210169,0.0,0.0,284.6476524477003,21.75081029109882,0.0,0.0
2020-01-09,2020-01-09,00:00:00,-360.0511269255077,891.3283254432837,-684.2622055059765,481.50438438712763,270.8682890697552,63.249482078081954,0.0,0.0,274.2017546805442,26.938976730131003,0.0,0.0
2020-01-10,2020-01-10,00:00:00,-378.2241427267436,890.6241273220695,-503.2289316642564,644.2673687515326,253.32712093890592,63.289380462517244,0.0,0.0,271.8999694307484,37.9301470279084,0.0,0.0
2020-01-11,2020-01-11,00:00:00,-400.30705777276313,885.1062194676273,-871.3697080770507,-382.42279452181526,233.2092129561836,63.37818268155062,0.0,0.0,223.2410549421268,-23.94396144229843,0.0,0.0
2020-01-12,2020-01-12,00:00:00,-425.5911928636488,869.6684041297044,-855.9042471137362,-335.168281843802,219.89574882034933,61.520810828529164,0.0,0.0,217.1553713678265,-21.429201557494345,0.0,0.0
2020-01-13,2020-01-13,00:00:00,-478.7185619515367,849.3093102720932,-810.9390332857147,-307.72152173579695,202.21085404619558,58.831252601302225,0.0,0.0,211.35111870632332,-20.305688967574927,0.0,0.0
2020-01-14,2020-01-14,00:00:00,-554.3139538017567,791.5764671560478,-795.1896359084641,-321.79238561306437,190.8433986493337,52.592114647467106,0.0,0.0,199.50453027134748,-21.311944021027692,0.0,0.0
2020-01-15,2020-01-15,00:00:00,-549.8193098132033,773.7730701840837,-692.0526875953656,-347.1764199022008,185.87289632738973,49.990930023070106,0.0,0.0,196.05238548700268,-23.644051364666584,0.0,0.0
2020-01-16,2020-01-16,00:00:00,-455.50916161155334,823.4560097305289,-551.7427198961377,-398.4338145740181,179.03327957656606,54.94931899241618,0.0,0.0,194.1659103490136,-27.45097080810932,0.0,0.0
2020-01-17,2020-01-17,00:00:00,-401.5945019272622,861.1361449621188,-534.4834517557174,-494.51894665199586,167.50351069159746,58.9388301662661,0.0,0.0,179.22272178737572,-33.818795511082115,0.0,0.0
2020-01-18,2020-01-18,00:00:00,-364.208094547037,872.1389036076582,-2146.370038477704,181.07124581547146,157.96720380360594,60.37897253003704,0.0,0.0,146.8731267958089,1.81536306013484,0.0,0.0
2020-01-19,2020-01-19,00:00:00,-355.8429596561473,892.3246842889647,-395.3371244948357,893.8043638398198,142.40858054608117,62.40897909351376,0.0,0.0,127.3344160710453,63.95652235038414,0.0,0.0
2020-01-20,2020-01-20,00:00:00,-330.3501680318732,882.4931237728363,-403.33971483958885,883.0167725423532,136.52581394776846,60.99974079887056,0.0,0.0,116.10586169618145,62.8096009826072,0.0,0.0
2020-01-21,2020-01-21,00:00:00,-494.31596897752024,-828.5220726834251,-409.6620001811534,885.8384129200406,88.16872911052471,-59.0849845273091,0.0,0.0,103.06650165655694,62.48231714699294,0.0,0.0
2020-01-22,2020-01-22,00:00:00,-755.4922811419236,-525.3743048925231,-445.055626722984,864.2487004136735,84.60967629129523,-34.45626442837066,0.0,0.0,88.64307567170601,60.10381516393529,0.0,0.0
2020-01-23,2020-01-23,00:00:00,-687.8098567835988,-493.946779065934,-447.6816645143554,856.3120857986929,84.30979008445578,-33.17981282357068,0.0,0.0,79.54196166347681,58.71874149441451,0.0,0.0
2020-01-24,2020-01-24,00:00:00,-573.8439509551972,-519.3916591985235,-480.4042939939536,818.4645276422342,82.0792396065488,-35.66756735446564,0.0,0.0,70.18590079490636,54.422617040965186,0.0,0.0
2020-01-25,2020-01-25,00:00:00,-409.3838444382418,-694.7481979591589,-461.61958904773934,799.2998722557578,74.86626666498844,-49.40998901119664,0.0,0.0,65.97071232817422,51.27143168076069,0.0,0.0
2020-01-26,2020-01-26,00:00:00,-310.79796556336805,-707.1173416297357,-391.6319729781244,793.5791464489688,71.42964895215434,-50.96628779323167,0.0,0.0,63.03439650175184,50.0744822185608,0.0,0.0
2020-01-27,2020-01-27,00:00:00,-183.43825767305682,-704.9799636553012,-272.11054261866957,799.9329746173123,71.11371758557281,-51.24144341885522,0.0,0.0,62.84663153131919,49.94334311333979,0.0,0.0
2020-01-28,2020-01-28,00:00:00,-7.4261365237180135,-685.335487697844,-95.92241144576109,820.9597181544337,74.63511867601756,-49.93437210438999,0.0,0.0,66.35568763664337,51.123878544315794,0.0,0.0
2020-01-29,2020-01-29,00:00:00,272.4757308598488,-516.2801550602697,131.68405969119715,-787.0048383332897,82.55451227876395,-37.18128291349251,0.0,0.0,77.07939219620188,-58.71260411256264,0.0,0.0
2020-01-30,2020-01-30,00:00:00,359.1649369857304,-671.0697977111507,297.091816467464,-824.3509891214534,82.1448373282592,-48.05946225994655,0.0,0.0,88.57898283972123,-61.69205295222235,0.0,0.0
2020-01-31,2020-01-31,00:00:00,396.54583897262586,-815.3312594210953,405.7052221282409,-850.0476651525006,90.55645183688749,-60.22152717338873,0.0,0.0,102.80824781384928,-63.19604341333073,0.0,0.0
2020-02-01,2020-02-01,00:00:00,418.9520612582734,-856.845147859609,nan,nan,97.38306738101747,-63.56533917709621,0.0,0.0,117.51515459941106,-3.415346406119068,0.0,0.0
2020-02-02,2020-02-02,00:00:00,433.48882421631316,-875.3668932325177,nan,nan,100.68332221934557,-63.75213867098457,0.0,0.0,114.14146361912462,62.411643614515285,0.0,0.0
2020-02-03,2020-02-03,00:00:00,nan,nan,nan,nan,98.7307913893693,-63.33636196910253,0.0,0.0,113.32005935358038,62.42514392147128,0.0,0.0
2020-02-04,2020-02-04,00:00:00,nan,nan,nan,nan,94.07303000187956,-61.75037107975685,0.0,0.0,109.2158809057332,63.09358196513558,0.0,0.0
2020-02-05,2020-02-05,00:00:00,nan,nan,nan,nan,88.48064631737194,-59.53150014073297,0.0,0.0,102.34927572028873,62.327352575564184,0.0,0.0
2020-02-06,2020-02-06,00:00:00,nan,nan,nan,nan,82.3561713254043,-48.86832909516196,0.0,0.0,93.41086615173585,61.27354367183903,0.0,0.0
2020-02-07,2020-02-07,00:00:00,nan,nan,nan,nan,84.99787086927333,-33.461174919649565,0.0,0.0,85.8918052539923,59.20251214243658,0.0,0.0
2020-02-08,2020-02-08,00:00:00,nan,nan,nan,nan,83.67237567927303,-33.805211872177445,0.0,0.0,77.51348445609985,58.11850160883315,0.0,0.0
2020-02-09,2020-02-09,00:00:00,nan,nan,nan,nan,82.03342872426107,-37.82263728997707,0.0,0.0,69.18207493356802,53.0555482999374,0.0,0.0
2020-02-10,2020-02-10,00:00:00,nan,nan,nan,nan,71.37661144863091,-50.71201883681743,0.0,0.0,62.898694041264456,50.23332621466715,0.0,0.0
2020-02-11,2020-02-11,00:00:00,nan,nan,nan,nan,63.974411496729914,-56.29364510990465,0.0,0.0,56.590822446998274,51.67912117790148,0.0,0.0
2020-02-12,2020-02-12,00:00:00,nan,nan,nan,nan,47.940267035202524,-60.80482782775074,0.0,0.0,38.715614680887434,52.84319567209164,0.0,0.0
2020-02-13,2020-02-13,00:00:00,nan,nan,nan,nan,31.412141123058426,-57.728385413445324,0.0,0.0,33.00779894299451,39.542536614454434,0.0,0.0
