date,time,lon,lat,elon,elat,HelioprojectiveTx,HelioprojectiveTy
2020-01-01,00:00:00,359.3641404677896,-32.525505302330245,0.0,0.0,-782.2456714587752,-511.9338399940554
2020-01-02,00:00:00,355.0616324533102,-32.2476054162111,0.0,0.0,-734.5378018196207,-500.8602326863716
2020-01-03,00:00:00,351.68105518065374,-32.112044733447306,0.0,0.0,-662.9806278047618,-493.55412974919494
2020-01-04,00:00:00,349.47419987429606,-32.44733730679805,0.0,0.0,-551.6082027759403,-489.34034931149347
2020-01-05,00:00:00,348.44341750413986,-34.42333143765904,0.0,0.0,-403.28589498694055,-514.533732856345
2020-01-06,00:00:00,303.72568482469495,60.13408555194274,0.0,0.0,-428.56383744999766,863.926145345611
2020-01-07,00:00:00,298.7280683932024,60.334429590323666,0.0,0.0,-386.5838381238282,865.4335792519614
2020-01-08,00:00:00,287.47378174892475,64.31664030210169,0.0,0.0,-329.84816906857304,895.7615207517471
2020-01-09,00:00:00,270.8682890697552,63.249482078081954,0.0,0.0,-360.05112692550756,891.3283254432838
2020-01-10,00:00:00,253.32712093890592,63.28938046251724,0.0,0.0,-378.2241427267436,890.6241273220696
2020-01-11,00:00:00,233.20921295618356,63.37818268155062,0.0,0.0,-400.3070577727631,885.1062194676272
2020-01-12,00:00:00,219.89574882034935,61.520810828529164,0.0,0.0,-425.59119286364876,869.6684041297045
2020-01-13,00:00:00,202.21085404619555,58.831252601302225,0.0,0.0,-478.7185619515367,849.3093102720931
2020-01-14,00:00:00,190.8433986493337,52.59211464746711,0.0,0.0,-554.3139538017567,791.5764671560477
2020-01-15,00:00:00,185.87289632738975,49.99093002307011,0.0,0.0,-549.8193098132033,773.7730701840837
2020-01-16,00:00:00,179.03327957656603,54.94931899241618,0.0,0.0,-455.5091616115533,823.4560097305289
2020-01-17,00:00:00,167.50351069159746,58.938830166266094,0.0,0.0,-401.5945019272622,861.1361449621189
2020-01-18,00:00:00,157.96720380360594,60.37897253003704,0.0,0.0,-364.20809454703704,872.1389036076583
2020-01-19,00:00:00,142.40858054608117,62.40897909351376,0.0,0.0,-355.8429596561473,892.3246842889647
2020-01-20,00:00:00,136.52581394776846,60.999740798870555,0.0,0.0,-330.3501680318732,882.4931237728363
2020-01-21,00:00:00,88.16872911052471,-59.084984527309096,0.0,0.0,-494.31596897752024,-828.5220726834251
2020-01-22,00:00:00,84.60967629129524,-34.456264428370666,0.0,0.0,-755.4922811419237,-525.3743048925231
2020-01-23,00:00:00,84.30979008445578,-33.17981282357068,0.0,0.0,-687.8098567835987,-493.946779065934
2020-01-24,00:00:00,82.0792396065488,-35.66756735446564,0.0,0.0,-573.8439509551972,-519.3916591985235
2020-01-25,00:00:00,74.86626666498844,-49.40998901119664,0.0,0.0,-409.3838444382418,-694.748197959159
