date,time,lon,lat,elon,elat
2020-01-22,10:13:26.399998,88.5703,65.8088,2.217,100.41
2020-01-22,14:02:49.919993,87.825,65.8338,2.198,101.09
2020-01-22,17:21:07.200020,87.086,65.7284,1.459,101.531
2020-01-22,19:04:30.719983,86.3533,65.878,0.7263,110.942
2020-01-22,20:11:54.239994,85.627,66.0008,0.7263,111.065
2020-01-22,22:00:54.719988,83.4859,66.1155,2.084,113.937
2020-01-22,23:45:36.000019,82.7849,66.1478,2.7405,115.757
2020-01-23,01:48:51.840008,82.0902,66.0953,2.0458,116.559
2020-01-23,04:01:03.360013,81.4019,66.0635,2.0267,117.124
2020-01-23,06:17:08.159983,80.72,65.8826,1.3448,117.976
2020-01-23,08:19:58.080017,80.0444,65.9108,1.332,118.591
2020-01-23,08:20:06.720002,79.3752,-52.7622,0.6628,7.4286
2020-01-23,08:20:15.359987,78.7124,-53.1576,0.6628,7.0332
2020-01-23,08:20:24.000013,78.056,-52.9387,1.2936,7.2521
2020-01-23,09:46:56.640003,77.406,-53.2712,1.3064,7.0677
2020-01-23,13:09:59.039988,76.7624,-53.1168,1.2936,6.9819
2020-01-23,16:56:55.679991,76.1252,-53.5287,2.4846,6.491
2020-01-23,19:59:48.480020,75.4944,-53.3295,2.4588,6.3041
2020-01-23,21:13:49.439999,74.2521,-53.4468,1.8151,6.3467
2020-01-23,23:15:04.319993,73.6406,-53.5903,1.7958,5.8267
2020-01-24,01:04:56.640019,73.0356,-53.7166,1.7765,5.8071
2020-01-24,03:11:13.919982,72.437,-53.562,1.7567,6.1228
2020-01-24,04:43:23.520003,71.8448,-53.7438,1.736,5.941
2020-01-24,06:06:02.879987,71.2591,-53.8752,1.1503,5.8096
2020-01-24,07:50:26.880008,70.6803,-53.8596,1.1353,5.9671
2020-01-24,08:51:47.519992,70.1088,-54.0807,1.1194,6.1882
2020-01-24,09:48:14.399992,69.545,-54.3272,0.5638,6.2196
2020-01-24,11:38:23.999989,68.9894,-54.5124,1.0846,5.673
2020-01-24,14:42:17.279995,68.4425,-54.6997,1.0658,5.4836
2020-01-24,17:14:21.119986,67.9048,-54.8367,1.5536,5.3283
2020-01-24,19:35:19.680020,67.3767,-55.0569,2.007,5.4813
2020-01-24,22:25:06.240016,65.3697,-56.0699,1.382,4.8868
2020-01-24,23:09:27.360002,64.8966,-56.3289,0.9089,4.6278
2020-01-24,23:52:39.359984,64.4359,-56.5065,0.8837,4.5722
2020-01-25,00:22:36.479989,63.9877,-56.7562,0.8582,4.3225
2020-01-25,03:34:50.879989,63.5522,-56.9837,0.8325,4.1921
2020-01-25,06:25:37.920003,63.1295,-57.2814,0.8066,3.5247
2020-01-25,08:56:41.280016,62.7197,-57.4704,1.1508,3.3947
