date,time,lon,lat,elon,elat
2020-01-21,22:08:32.640014,87.825,62.3715,0.7453,0.8562
2020-01-22,00:28:22.080005,87.086,62.1064,0.739,0.6673
2020-01-22,01:41:13.919982,86.3533,62.4675,0.7327,0.973
2020-01-22,03:21:44.639997,85.627,62.477,0.7263,1.0523
2020-01-22,05:00:14.400016,84.9069,62.4835,0.7201,1.2001
2020-01-22,06:39:44.640013,84.1932,62.4862,0.7137,1.2717
2020-01-22,08:20:32.639998,83.4859,62.4761,0.7073,1.3303
2020-01-22,10:00:28.799991,82.7849,62.4535,0.701,1.3957
2020-01-22,11:51:12.960010,82.0902,62.8671,0.6947,1.4917
2020-01-22,13:39:21.600012,81.4019,62.8509,0.6883,1.4999
2020-01-22,15:30:05.759990,80.72,62.8101,0.6819,1.4793
2020-01-22,17:22:50.880005,80.0444,62.7616,0.6756,1.4033
2020-01-22,19:16:36.479997,79.3752,62.726,0.6692,1.4377
2020-01-22,21:12:14.400000,78.7124,62.6797,0.6628,1.4135
2020-01-22,21:18:00.000016,78.056,62.6333,0.6564,1.3671
2020-01-22,22:56:55.679991,77.406,63.0517,1.3064,1.3557
2020-01-23,01:03:30.240005,76.7624,62.924,0.6436,1.2552
2020-01-23,03:09:38.879982,76.1252,62.9656,0.6372,1.3824
2020-01-23,05:28:19.200010,75.4944,62.9403,0.6308,1.5465
2020-01-23,07:14:26.880016,74.8701,63.3709,0.6243,2.0117
2020-01-23,09:47:22.559999,74.2521,63.2105,0.618,1.5918
2020-01-23,12:22:53.760000,73.6406,63.1851,0.6115,1.5392
2020-01-23,13:44:06.720010,73.0356,63.6158,0.605,1.9821
2020-01-23,16:10:33.600010,72.437,63.5875,1.2036,1.9538
2020-01-23,18:41:36.959983,71.8448,63.5538,1.1908,1.8315
2020-01-23,21:37:17.759981,70.1088,63.8601,1.1194,1.9364
2020-01-23,23:44:09.600005,69.545,63.7809,0.5638,1.7809
2020-01-24,01:58:22.080005,68.9894,63.706,1.0846,1.7583
2020-01-24,04:17:02.399993,68.4425,63.6331,1.0658,1.7429
2020-01-24,06:27:56.160009,67.9048,63.5668,0.5377,1.6766
2020-01-24,07:11:16.800017,67.3767,63.8781,0.5281,1.61
