date,time,lon,lat,elon,elat,HelioprojectiveTx,HelioprojectiveTy
2020-01-01,00:00:00,18.551775667277397,3.419388651831906,0.0,0.0,-1939.8543262751773,223.29667712326614
2020-01-02,00:00:00,354.4091993030704,-34.58484495564624,0.0,0.0,-718.6439145363402,-534.6769829678125
2020-01-03,00:00:00,352.88813573027227,-34.103682571042135,0.0,0.0,-634.8197948227171,-519.6939862874701
2020-01-04,00:00:00,351.6575166102762,-34.53858028444118,0.0,0.0,-514.6799763671588,-518.315977992577
2020-01-05,00:00:00,313.90168196313687,60.71088917252661,0.0,0.0,-430.24037578096613,862.3154907581542
2020-01-06,00:00:00,299.31306466128603,40.68906875325044,0.0,0.0,-674.9587240726687,654.3625122633456
2020-01-07,00:00:00,297.0602014109108,40.203138294453126,0.0,0.0,-609.7295421729796,656.9219515681489
2020-01-08,00:00:00,282.79822827470105,43.491535675354,0.0,0.0,-586.749819421675,697.1011258490348
2020-01-09,00:00:00,273.79157133828545,50.321872960928445,0.0,0.0,-489.551412838744,776.3068062639339
2020-01-10,00:00:00,263.2966132185686,53.58230241861812,0.0,0.0,-437.8916835433338,810.6282455280281
2020-01-11,00:00:00,251.28012050714887,61.26532206298092,0.0,0.0,-348.2075206465088,876.5834660557421
2020-01-12,00:00:00,230.73774902590907,63.97536444413462,0.0,0.0,-351.9168327592779,892.7394640099507
2020-01-13,00:00:00,209.2318389221657,62.818181517173926,0.0,0.0,-399.2893837459851,880.6077118348134
2020-01-14,00:00:00,193.31505453985423,62.01631691950917,0.0,0.0,-419.3783179419115,873.3194112493221
2020-01-15,00:00:00,178.70680770857126,60.02273820951015,0.0,0.0,-451.33563786302693,857.1274699535377
2020-01-16,00:00:00,168.5572744795208,57.681532117761314,0.0,0.0,-471.9153378556948,839.9184038549698
2020-01-17,00:00:00,161.52185189036896,57.09171085249582,0.0,0.0,-452.7468295658473,839.3159333694035
2020-01-18,00:00:00,154.16528793559385,58.63053643745387,0.0,0.0,-404.80188239505515,856.2037460091746
2020-01-19,00:00:00,134.06582872382984,2.106091572153265,0.0,0.0,-2116.337634786265,194.752714517467
2020-01-20,00:00:00,115.31721634281948,-35.03330843152617,0.0,0.0,-726.7032056048047,-529.6369325275199
2020-01-21,00:00:00,112.43610863096514,-43.21890778915199,0.0,0.0,-583.4887009554077,-630.423165691679
2020-01-22,00:00:00,88.92376426377051,-49.95644773139172,0.0,0.0,-571.0172879463062,-720.8604728917301
2020-01-23,00:00:00,87.71531532933201,-35.46429544449782,0.0,0.0,-639.1076663446147,-521.1862114500975
2020-01-24,00:00:00,85.85472440289423,-47.49850439563879,0.0,0.0,-442.75485347560607,-671.7824152333785
2020-01-25,00:00:00,81.50217874600114,-51.755734991648396,0.0,0.0,-332.1293117001187,-716.25878802403
2020-01-26,00:00:00,78.40056455148188,-55.591415805832156,0.0,0.0,-217.864854847081,-753.7388246704453
2020-01-27,00:00:00,77.65664557224379,-56.68580369855018,0.0,0.0,-100.71974150883034,-761.3152831429085
2020-01-28,00:00:00,81.19448844161255,-52.489478762060976,0.0,0.0,61.02475296588949,-712.9423370742368
2020-01-29,00:00:00,86.11626299833843,-48.88724581116532,0.0,0.0,261.0575761418833,-673.6684509939798
2020-01-30,00:00:00,91.39788772292451,-56.995935712321476,0.0,0.0,358.66833074143176,-774.5345167018315
2020-01-31,00:00:00,108.97248673662456,-50.96665198185874,0.0,0.0,587.6825929063712,-735.0275309905686
2020-02-01,00:00:00,114.94736424700237,-35.82070400165134,0.0,0.0,788.9417656047777,-570.1000559650051
2020-02-02,00:00:00,115.15361038651373,-35.567069549345526,0.0,0.0,nan,nan
2020-02-03,00:00:00,115.07223856284598,-35.28135954328321,0.0,0.0,nan,nan
2020-02-04,00:00:00,114.78677981871286,-35.33551164403602,0.0,0.0,nan,nan
2020-02-05,00:00:00,111.06903567038881,-46.37504368103367,0.0,0.0,nan,nan
2020-02-06,00:00:00,97.52625824520956,-57.29698643190491,0.0,0.0,nan,nan
2020-02-07,00:00:00,88.4838001021836,-46.284448571502686,0.0,0.0,nan,nan
2020-02-08,00:00:00,87.42617720044598,-35.953799874097506,0.0,0.0,nan,nan
2020-02-09,00:00:00,84.59136625572211,-48.868781353647485,0.0,0.0,nan,nan
2020-02-10,00:00:00,78.63968227386582,-54.64539597457277,0.0,0.0,nan,nan
2020-02-11,00:00:00,65.40885301979777,-60.64435941365554,0.0,0.0,nan,nan
2020-02-12,00:00:00,50.13527274088062,-61.60997535375769,0.0,0.0,nan,nan
2020-02-13,00:00:00,39.31862302774283,1.5821876864592335,0.0,0.0,nan,nan
2020-02-14,00:00:00,28.653093776581223,2.016631672701922,0.0,0.0,nan,nan
2020-02-15,00:00:00,355.46036569538694,-36.419058072365445,0.0,0.0,nan,nan
2020-02-16,00:00:00,354.6220475459183,-34.77977660670416,0.0,0.0,nan,nan
2020-02-17,00:00:00,353.4225311564798,-34.268043611461124,0.0,0.0,nan,nan
2020-02-18,00:00:00,352.25941325099996,-34.21694523973682,0.0,0.0,nan,nan
2020-02-19,00:00:00,351.4525116166059,-35.06729947179485,0.0,0.0,nan,nan
2020-02-20,00:00:00,321.218098985799,2.205506960888203,0.0,0.0,nan,nan
2020-02-21,00:00:00,299.38532491896297,40.67287228776443,0.0,0.0,nan,nan
2020-02-22,00:00:00,297.3236750987059,39.891455860421495,0.0,0.0,nan,nan
2020-02-23,00:00:00,283.1474528507822,52.685239682539255,0.0,0.0,nan,nan
2020-02-24,00:00:00,276.4770886354548,48.19111242667054,0.0,0.0,nan,nan
2020-02-25,00:00:00,266.5457859209115,54.04389453839759,0.0,0.0,nan,nan
2020-02-26,00:00:00,261.6044139345093,55.20681033927822,0.0,0.0,nan,nan
2020-02-27,00:00:00,248.0902745821783,62.08428424045774,0.0,0.0,nan,nan
