date,date,time,Tx(GONG),Ty(GONG),Tx(HMI),Ty(HMI),lon(GONG),lat(GONG),elon(GONG),elat(GONG),lon(HMI),lat(HMI),elon(HMI),elat(HMI)
2020-01-01,2020-01-01,00:00:00,-791.7327677651773,-520.0706022694612,-701.3791106559802,461.641860556548,356.3261467166671,-32.927050392518424,10.0,10.0,17.757960555602594,26.3846358043805,10.0,10.0
2020-01-02,2020-01-02,00:00:00,-749.2692848369479,-496.0162437222451,-464.2007553947623,817.5253288032802,353.71637972357667,-31.761732201199948,10.0,10.0,2.9660415936885527,54.62890455234614,10.0,10.0
2020-01-03,2020-01-03,00:00:00,-674.701869628625,-492.451039836752,-434.95407581608737,842.072111876715,350.1459348804298,-32.062846397504075,10.0,10.0,347.48432843568764,57.935170153266256,10.0,10.0
2020-01-04,2020-01-04,00:00:00,-583.93586712447,-481.5068563851422,-594.1991570664104,760.6640069311038,347.29146733182523,-31.613242542263254,10.0,10.0,319.82176270127695,50.14392819362485,10.0,10.0
2020-01-05,2020-01-05,00:00:00,-428.8616519949865,-505.13989491935723,-809.0956443047618,508.7011747324062,346.45005913263697,-33.856851514079715,10.0,10.0,304.08090136733375,30.51389504682802,10.0,10.0
2020-01-06,2020-01-06,00:00:00,-456.5316535655875,-786.8249783707137,-807.2405325458385,453.29532459912974,309.915987579042,-55.4262969290061,10.0,10.0,299.0566454838206,26.041731361670593,10.0,10.0
2020-01-07,2020-01-07,00:00:00,-393.37297339551145,869.3668539276473,-780.5868922721129,411.1564362073524,297.01337987636987,60.579401684436036,10.0,10.0,292.52010700610805,22.852716387872352,10.0,10.0
2020-01-08,2020-01-08,00:00:00,-343.8674573192838,886.8595932702167,-726.587641535094,411.30315575757965,289.819634141842,62.27467528294021,10.0,10.0,285.51074718824987,22.52289907883795,10.0,10.0
2020-01-09,2020-01-09,00:00:00,-320.71550369472243,906.344284944686,-636.2488136684988,475.31639197709086,273.87388044130796,65.34129466896468,10.0,10.0,278.9864793876749,26.41685891824736,10.0,10.0
2020-01-10,2020-01-10,00:00:00,-2127.602156200679,176.26036502224014,-513.9508006800897,645.5180940765449,253.36394455796588,2.029866691490102,10.0,10.0,270.89597382609696,37.99030698077307,10.0,10.0
2020-01-11,2020-01-11,00:00:00,-2136.32015141286,195.85485577792198,-384.98008202901116,784.1827013287071,239.6571762484797,2.467008284063447,10.0,10.0,261.2104991681095,50.17986832653296,10.0,10.0
