date,time,lon,lat,elon,elat,HelioprojectiveTx,HelioprojectiveTy
2020-01-01,00:00:00,17.757960555602597,26.384635804380505,0.0,0.0,-701.3791106559802,461.641860556548
2020-01-02,00:00:00,2.9660415936885527,54.628904552346135,0.0,0.0,-464.2007553947624,817.5253288032803
2020-01-03,00:00:00,347.48432843568764,57.935170153266256,0.0,0.0,-434.9540758160874,842.072111876715
2020-01-04,00:00:00,319.82176270127695,50.143928193624845,0.0,0.0,-594.1991570664104,760.6640069311039
2020-01-05,00:00:00,304.08090136733375,30.51389504682802,0.0,0.0,-809.0956443047617,508.7011747324062
2020-01-06,00:00:00,299.0566454838206,26.041731361670593,0.0,0.0,-807.2405325458385,453.29532459912974
2020-01-07,00:00:00,292.52010700610805,22.85271638787235,0.0,0.0,-780.5868922721129,411.1564362073524
2020-01-08,00:00:00,285.5107471882499,22.522899078837952,0.0,0.0,-726.587641535094,411.30315575757965
2020-01-09,00:00:00,278.9864793876749,26.416858918247364,0.0,0.0,-636.2488136684988,475.31639197709075
2020-01-10,00:00:00,270.89597382609696,37.99030698077307,0.0,0.0,-513.9508006800897,645.5180940765449
2020-01-11,00:00:00,261.2104991681095,50.17986832653296,0.0,0.0,-384.9800820290111,784.1827013287071
2020-01-12,00:00:00,213.86794610601012,-24.377698521172725,0.0,0.0,-850.8885888985824,-384.1057901443204
2020-01-13,00:00:00,209.00998480665007,-22.52232678018553,0.0,0.0,-816.2665389492176,-346.22371701977386
2020-01-14,00:00:00,198.91382961701942,-23.68258604544971,0.0,0.0,-785.1619699643925,-360.0096776225177
2020-01-15,00:00:00,194.58212280119935,-26.91986214161187,0.0,0.0,-690.4407331929542,-401.8541651423067
2020-01-16,00:00:00,189.97280387285724,-37.06573627887998,0.0,0.0,-537.3885118735489,-544.0909981695836
2020-01-17,00:00:00,174.74217873642587,-43.793988049904115,0.0,0.0,-506.6192746942397,-639.1423239869401
2020-01-18,00:00:00,154.49021534066512,-46.586373051832496,0.0,0.0,-536.2305486379191,-677.7806497179758
2020-01-19,00:00:00,141.99315496636603,-61.86299854616474,0.0,0.0,-362.88640294596553,-835.9457723254598
2020-01-20,00:00:00,116.3602195478742,-52.496567448188394,0.0,0.0,-539.0398022339214,-754.2207785362783
2020-01-21,00:00:00,111.16405015608977,-46.71225552239962,0.0,0.0,-561.0326063442044,-680.0367281140288
2020-01-22,00:00:00,103.86355995059577,-58.45543097680964,0.0,0.0,-394.9661477217451,-801.8335944305819
2020-01-23,00:00:00,96.4536893890041,-61.3266036359068,0.0,0.0,-330.4446170364972,-825.1096333219452
2020-01-24,00:00:00,80.60317628586057,-60.62841084481816,0.0,0.0,-355.13252228614874,-823.5284089412421
2020-01-25,00:00:00,71.26602597957007,-58.9437592036474,0.0,0.0,-348.67439439776354,-802.0996384471454
2020-01-26,00:00:00,68.8118187900168,-58.24463549111399,0.0,0.0,-279.3908274762798,-787.2544267274465
2020-01-27,00:00:00,68.52651869953715,-58.38582857370947,0.0,0.0,-174.8118432443589,-781.5722656680542
2020-01-28,00:00:00,71.33713839033467,-59.09952720315625,0.0,0.0,-34.849106749286875,-787.0594517185644
2020-01-29,00:00:00,86.17936818856938,-60.579901030682834,0.0,0.0,196.32185202469887,-806.2813201748629
2020-01-30,00:00:00,102.34126621311792,-58.11876473227289,0.0,0.0,415.01860601323926,-795.8795191745265
2020-01-31,00:00:00,111.9400649044534,-47.68052464070375,0.0,0.0,641.5548946171526,-705.6014919151769
2020-02-01,00:00:00,114.68540172988367,-50.03539581297987,0.0,0.0,628.5134161940483,-748.6992829847125
2020-02-02,00:00:00,116.1547217533649,-51.71105887239059,0.0,0.0,nan,nan
2020-02-03,00:00:00,115.12123752606759,-50.48845335388072,0.0,0.0,nan,nan
2020-02-04,00:00:00,112.65910312980586,-47.58696588783921,0.0,0.0,nan,nan
2020-02-05,00:00:00,111.38121538424986,-47.00313618047167,0.0,0.0,nan,nan
